POS	occur	unknown
1	3	3
2	1	2
3	1	1
4	1	0
5	4	2
6	2	2
7	5	1
8	5	1
9	6	0
10	6	0
11	6	0
12	1	0
13	5	1
14	6	0
15	6	0
16	6	0
17	6	0
18	6	0
19	6	0
20	1	0
21	6	0
22	6	0
23	6	0
24	6	0
25	6	0
26	1	0
27	6	0
28	6	0
29	6	0
30	6	0
31	6	0
32	6	0
33	6	0
34	6	0
35	6	0
36	6	0
37	6	0
38	6	0
39	6	0
40	4	0
41	2	4
42	1	0
43	6	0
44	6	0
45	6	0
46	6	0
47	6	0
48	6	0
49	6	0
50	6	0
51	6	0
52	6	0
53	1	0
54	5	1
55	6	0
56	6	0
57	6	0
58	6	0
59	6	0
60	5	0
61	6	0
62	6	0
63	6	0
64	6	0
65	6	0
66	1	0
67	6	0
68	6	0
69	5	0
70	6	0
71	1	0
72	6	0
73	6	0
74	6	0
75	6	0
76	6	0
77	6	0
78	6	0
79	6	0
80	3	0
81	6	0
82	6	0
83	6	0
84	6	0
85	6	0
86	6	0
87	6	0
88	6	0
89	6	0
90	6	0
91	5	0
92	6	0
93	6	0
94	6	0
95	6	0
96	6	0
97	6	0
98	5	0
99	6	0
100	6	0
101	5	0
102	1	5
103	6	0
104	6	0
105	6	0
106	6	0
107	6	0
108	6	0
109	1	0
110	5	1
111	6	0
112	6	0
113	6	0
114	6	0
115	6	0
116	6	0
117	6	0
118	6	0
119	6	0
120	6	0
121	5	0
122	6	0
123	6	0
124	6	0
125	6	0
126	3	0
127	6	0
128	6	0
129	3	0
130	2	3
131	1	5
132	6	0
133	6	0
134	5	0
135	6	0
136	5	0
137	1	5
138	6	0
139	5	0
140	6	0
141	6	0
142	1	0
143	1	1
144	3	2
145	1	5
146	1	5
147	5	1
148	6	0
149	6	0
150	6	0
151	6	0
152	6	0
153	5	0
154	1	5
155	5	0
156	6	0
157	1	0
158	5	1
159	5	1
160	3	1
161	6	0
162	6	0
163	6	0
164	6	0
165	2	0
166	1	2
167	3	3
168	4	2
169	5	0
170	6	0
171	6	0
172	6	0
173	6	0
174	3	0
175	2	3
176	6	0
177	6	0
178	5	0
179	6	0
180	6	0
181	6	0
182	6	0
183	5	0
184	3	0
185	6	0
186	6	0
187	6	0
188	6	0
189	1	0
190	5	1
191	5	1
192	5	1
193	3	1
194	1	4
195	1	5
196	1	5
