# print with MP based on the cost matrix: 
#  0->0 =0
#  0->1 =2
#  1->0 =1
#  1->1 =0
POS	Node	State
1	N1	1
1	N2	1
1	N3	1
1	N4	1
1	S4	1
1	S5	1
1	S3	1
1	N5	1
1	S1	1
1	S2	1
1	S6	1
2	N1	0
2	N2	0
2	N3	0
2	N4	0
2	S4	0
2	S5	0
2	S3	0
2	N5	0
2	S1	0
2	S2	1
2	S6	0
3	N1	0
3	N2	0
3	N3	0
3	N4	0
3	S4	0
3	S5	1
3	S3	0
3	N5	0
3	S1	0
3	S2	0
3	S6	0
4	N1	1
4	N2	0
4	N3	0
4	N4	0
4	S4	0
4	S5	0
4	S3	0
4	N5	0
4	S1	0
4	S2	0
4	S6	1
5	N1	1
5	N2	1
5	N3	1
5	N4	1
5	S4	1
5	S5	1
5	S3	1
5	N5	1
5	S1	1
5	S2	1
5	S6	1
6	N1	1
6	N2	1
6	N3	0
6	N4	0
6	S4	0
6	S5	0
6	S3	0
6	N5	1
6	S1	1
6	S2	1
6	S6	1
7	N1	1
7	N2	1
7	N3	1
7	N4	1
7	S4	1
7	S5	1
7	S3	1
7	N5	1
7	S1	1
7	S2	1
7	S6	1
8	N1	1
8	N2	1
8	N3	1
8	N4	1
8	S4	1
8	S5	1
8	S3	1
8	N5	1
8	S1	1
8	S2	1
8	S6	1
9	N1	1
9	N2	1
9	N3	1
9	N4	1
9	S4	1
9	S5	1
9	S3	1
9	N5	1
9	S1	1
9	S2	1
9	S6	1
10	N1	1
10	N2	1
10	N3	1
10	N4	1
10	S4	1
10	S5	1
10	S3	1
10	N5	1
10	S1	1
10	S2	1
10	S6	1
11	N1	1
11	N2	1
11	N3	1
11	N4	1
11	S4	1
11	S5	1
11	S3	1
11	N5	1
11	S1	1
11	S2	1
11	S6	1
12	N1	1
12	N2	0
12	N3	0
12	N4	0
12	S4	0
12	S5	0
12	S3	0
12	N5	0
12	S1	0
12	S2	0
12	S6	1
13	N1	1
13	N2	1
13	N3	1
13	N4	1
13	S4	1
13	S5	1
13	S3	1
13	N5	1
13	S1	1
13	S2	1
13	S6	1
14	N1	1
14	N2	1
14	N3	1
14	N4	1
14	S4	1
14	S5	1
14	S3	1
14	N5	1
14	S1	1
14	S2	1
14	S6	1
15	N1	1
15	N2	1
15	N3	1
15	N4	1
15	S4	1
15	S5	1
15	S3	1
15	N5	1
15	S1	1
15	S2	1
15	S6	1
16	N1	1
16	N2	1
16	N3	1
16	N4	1
16	S4	1
16	S5	1
16	S3	1
16	N5	1
16	S1	1
16	S2	1
16	S6	1
17	N1	1
17	N2	1
17	N3	1
17	N4	1
17	S4	1
17	S5	1
17	S3	1
17	N5	1
17	S1	1
17	S2	1
17	S6	1
18	N1	1
18	N2	1
18	N3	1
18	N4	1
18	S4	1
18	S5	1
18	S3	1
18	N5	1
18	S1	1
18	S2	1
18	S6	1
19	N1	1
19	N2	1
19	N3	1
19	N4	1
19	S4	1
19	S5	1
19	S3	1
19	N5	1
19	S1	1
19	S2	1
19	S6	1
20	N1	1
20	N2	0
20	N3	0
20	N4	0
20	S4	0
20	S5	0
20	S3	0
20	N5	0
20	S1	0
20	S2	0
20	S6	1
21	N1	1
21	N2	1
21	N3	1
21	N4	1
21	S4	1
21	S5	1
21	S3	1
21	N5	1
21	S1	1
21	S2	1
21	S6	1
22	N1	1
22	N2	1
22	N3	1
22	N4	1
22	S4	1
22	S5	1
22	S3	1
22	N5	1
22	S1	1
22	S2	1
22	S6	1
23	N1	1
23	N2	1
23	N3	1
23	N4	1
23	S4	1
23	S5	1
23	S3	1
23	N5	1
23	S1	1
23	S2	1
23	S6	1
24	N1	1
24	N2	1
