# print with MP based on the cost matrix: 
#  0->0 =0
#  0->1 =2
#  1->0 =1
#  1->1 =0
G/L	POS	branch	branchLength	distance2Root	distance2NearestOTU	numOfNodes2NearestOTU	probability	expectation
gain	2	S2	0.00201816	0.108768	0	0	1	1
gain	3	S5	0.00054559	0.103175	0	0	1	1
loss	4	N2	0.0719776	0.0719776	0.0299487	2	1	1
loss	6	N3	0.0289065	0.100884	0.00104218	1	1	1
loss	12	N2	0.0719776	0.0719776	0.0299487	2	1	1
loss	20	N2	0.0719776	0.0719776	0.0299487	2	1	1
loss	26	N2	0.0719776	0.0719776	0.0299487	2	1	1
loss	40	N5	0.034772	0.10675	0.00130894	1	1	1
loss	42	N2	0.0719776	0.0719776	0.0299487	2	1	1
loss	53	N2	0.0719776	0.0719776	0.0299487	2	1	1
loss	60	S6	0.0836287	0.0836287	0	0	1	1
gain	66	S3	0.00104218	0.101926	0	0	1	1
loss	69	S6	0.0836287	0.0836287	0	0	1	1
loss	71	N2	0.0719776	0.0719776	0.0299487	2	1	1
loss	80	N3	0.0289065	0.100884	0.00104218	1	1	1
loss	91	S6	0.0836287	0.0836287	0	0	1	1
loss	98	S6	0.0836287	0.0836287	0	0	1	1
loss	101	S6	0.0836287	0.0836287	0	0	1	1
loss	109	N2	0.0719776	0.0719776	0.0299487	2	1	1
loss	121	S6	0.0836287	0.0836287	0	0	1	1
gain	126	N3	0.0289065	0.100884	0.00104218	1	1	1
gain	129	N3	0.0289065	0.100884	0.00104218	1	1	1
loss	130	S6	0.0836287	0.0836287	0	0	1	1
loss	134	S6	0.0836287	0.0836287	0	0	1	1
loss	136	S6	0.0836287	0.0836287	0	0	1	1
loss	139	S6	0.0836287	0.0836287	0	0	1	1
gain	142	S2	0.00201816	0.108768	0	0	1	1
gain	143	S1	0.00130894	0.108059	0	0	1	1
loss	144	S6	0.0836287	0.0836287	0	0	1	1
loss	153	S6	0.0836287	0.0836287	0	0	1	1
loss	155	S6	0.0836287	0.0836287	0	0	1	1
loss	157	N2	0.0719776	0.0719776	0.0299487	2	1	1
loss	160	N5	0.034772	0.10675	0.00130894	1	1	1
loss	165	N3	0.0289065	0.100884	0.00104218	1	1	1
loss	165	S1	0.00130894	0.108059	0	0	1	1
loss	166	N3	0.0289065	0.100884	0.00104218	1	1	1
loss	169	S6	0.0836287	0.0836287	0	0	1	1
gain	174	N3	0.0289065	0.100884	0.00104218	1	1	1
loss	175	S6	0.0836287	0.0836287	0	0	1	1
loss	178	S6	0.0836287	0.0836287	0	0	1	1
loss	183	S6	0.0836287	0.0836287	0	0	1	1
loss	184	N3	0.0289065	0.100884	0.00104218	1	1	1
gain	189	S4	0.0007815	0.103411	0	0	1	1
loss	193	S2	0.00201816	0.108768	0	0	1	1
loss	193	S6	0.0836287	0.0836287	0	0	1	1
loss	194	S6	0.0836287	0.0836287	0	0	1	1
