# print values over probCutOff 0.05
G/L	POS	branch	branchLength	distance2root	distance2NearestOTU	numOfNodes2NearestOTU	probability
gain	1	N2	0.1686	0.1686	0.07016	2	0.08669
gain	1	S6	0.1959	0.1959	0	0	0.06353
loss	1	S6	0.1959	0.1959	0	0	0.09112
gain	2	N2	0.1686	0.1686	0.07016	2	0.1057
loss	2	N2	0.1686	0.1686	0.07016	2	0.4339
loss	2	N3	0.06772	0.2364	0.002442	1	0.1446
gain	2	N5	0.08146	0.2501	0.003067	1	0.09892
loss	2	N5	0.08146	0.2501	0.003067	1	0.07467
loss	2	S1	0.003067	0.2532	0	0	0.1508
gain	2	S2	0.004728	0.2548	0	0	0.8492
gain	2	S6	0.1959	0.1959	0	0	0.3029
loss	2	S6	0.1959	0.1959	0	0	0.1884
gain	3	N2	0.1686	0.1686	0.07016	2	0.08919
loss	3	N2	0.1686	0.1686	0.07016	2	0.4492
loss	3	N3	0.06772	0.2364	0.002442	1	0.07467
gain	3	S5	0.001278	0.2417	0	0	0.9893
loss	3	N5	0.08146	0.2501	0.003067	1	0.08457
gain	3	S6	0.1959	0.1959	0	0	0.3028
loss	3	S6	0.1959	0.1959	0	0	0.1756
gain	4	N2	0.1686	0.1686	0.07016	2	0.05528
loss	4	N2	0.1686	0.1686	0.07016	2	0.5607
loss	4	N3	0.06772	0.2364	0.002442	1	0.05529
loss	4	N5	0.08146	0.2501	0.003067	1	0.06121
gain	4	S6	0.1959	0.1959	0	0	0.4867
loss	4	S6	0.1959	0.1959	0	0	0.06158
gain	5	N2	0.1686	0.1686	0.07016	2	0.08616
gain	5	S6	0.1959	0.1959	0	0	0.06293
loss	5	S6	0.1959	0.1959	0	0	0.09054
gain	6	N2	0.1686	0.1686	0.07016	2	0.157
loss	6	N2	0.1686	0.1686	0.07016	2	0.2807
loss	6	N3	0.06772	0.2364	0.002442	1	0.5198
gain	6	N5	0.08146	0.2501	0.003067	1	0.5039
gain	6	S6	0.1959	0.1959	0	0	0.2489
loss	6	S6	0.1959	0.1959	0	0	0.2055
gain	7	N2	0.1686	0.1686	0.07016	2	0.08604
gain	7	S6	0.1959	0.1959	0	0	0.06282
loss	7	S6	0.1959	0.1959	0	0	0.09042
gain	8	N2	0.1686	0.1686	0.07016	2	0.08604
gain	8	S6	0.1959	0.1959	0	0	0.06282
loss	8	S6	0.1959	0.1959	0	0	0.09042
gain	9	N2	0.1686	0.1686	0.07016	2	0.05225
gain	9	S6	0.1959	0.1959	0	0	0.0612
gain	10	N2	0.1686	0.1686	0.07016	2	0.05225
gain	10	S6	0.1959	0.1959	0	0	0.0612
gain	11	N2	0.1686	0.1686	0.07016	2	0.05225
gain	11	S6	0.1959	0.1959	0	0	0.0612
gain	12	N2	0.1686	0.1686	0.07016	2	0.05528
loss	12	N2	0.1686	0.1686	0.07016	2	0.5607
loss	12	N3	0.06772	0.2364	0.002442	1	0.05529
loss	12	N5	0.08146	0.2501	0.003067	1	0.06121
gain	12	S6	0.1959	0.1959	0	0	0.4867
loss	12	S6	0.1959	0.1959	0	0	0.06158
gain	13	N2	0.1686	0.1686	0.07016	2	0.08604
gain	13	S6	0.1959	0.1959	0	0	0.06282
loss	13	S6	0.1959	0.1959	0	0	0.09042
gain	14	N2	0.1686	0.1686	0.07016	2	0.05225
gain	14	S6	0.1959	0.1959	0	0	0.0612
gain	15	N2	0.1686	0.1686	0.07016	2	0.05225
gain	15	S6	0.1959	0.1959	0	0	0.0612
gain	16	N2	0.1686	0.1686	0.07016	2	0.05225
gain	16	S6	0.1959	0.1959	0	0	0.0612
gain	17	N2	0.1686	0.1686	0.07016	2	0.05225
gain	17	S6	0.1959	0.1959	0	0	0.0612
gain	18	N2	0.1686	0.1686	0.07016	2	0.05225
gain	18	S6	0.1959	0.1959	0	0	0.0612
gain	19	N2	0.1686	0.1686	0.07016	2	0.05225
gain	19	S6	0.1959	0.1959	0	0	0.0612
gain	20	N2	0.1686	0.1686	0.07016	2	0.05528
loss	20	N2	0.1686	0.1686	0.07016	2	0.5607
loss	20	N3	0.06772	0.2364	0.002442	1	0.05529
loss	20	N5	0.08146	0.2501	0.003067	1	0.06121
gain	20	S6	0.1959	0.1959	0	0	0.4867
loss	20	S6	0.1959	0.1959	0	0	0.06158
gain	21	N2	0.1686	0.1686	0.07016	2	0.05225
gain	21	S6	0.1959	0.1959	0	0	0.0612
gain	22	N2	0.1686	0.1686	0.07016	2	0.05225
gain	22	S6	0.1959	0.1959	0	0	0.0612
gain	23	N2	0.1686	0.1686	0.07016	2	0.05225
