# log Likelihood of tree (entire data)=	-201.2
POS	logLofPos
1	-0.1962
2	-6.364
3	-7.835
4	-2.927
5	-0.2
6	-2.912
7	-0.2008
8	-0.2008
9	-0.3002
10	-0.3002
11	-0.3002
12	-2.927
13	-0.2008
14	-0.3002
15	-0.3002
16	-0.3002
17	-0.3002
18	-0.3002
19	-0.3002
20	-2.927
21	-0.3002
22	-0.3002
23	-0.3002
24	-0.3002
25	-0.3002
26	-2.927
27	-0.3002
28	-0.3002
29	-0.3002
30	-0.3002
31	-0.3002
32	-0.3002
33	-0.3002
34	-0.3002
35	-0.3002
36	-0.3002
37	-0.3002
38	-0.3002
39	-0.3002
40	-3.261
41	-0.1286
42	-2.927
43	-0.3002
44	-0.3002
45	-0.3002
46	-0.3002
47	-0.3002
48	-0.3002
49	-0.3002
50	-0.3002
51	-0.3002
52	-0.3002
53	-2.927
54	-0.2008
55	-0.3002
56	-0.3002
57	-0.3002
58	-0.3002
59	-0.3002
60	-2.559
61	-0.3002
62	-0.3002
63	-0.3002
64	-0.3002
65	-0.3002
66	-7.787
67	-0.3002
68	-0.3002
69	-2.559
70	-0.3002
71	-2.927
72	-0.3002
73	-0.3002
74	-0.3002
75	-0.3002
76	-0.3002
77	-0.3002
78	-0.3002
79	-0.3002
80	-3.295
81	-0.3002
82	-0.3002
83	-0.3002
84	-0.3002
85	-0.3002
86	-0.3002
87	-0.3002
88	-0.3002
89	-0.3002
90	-0.3002
91	-2.559
92	-0.3002
93	-0.3002
94	-0.3002
95	-0.3002
96	-0.3002
97	-0.3002
98	-2.559
99	-0.3002
100	-0.3002
101	-2.559
102	-0.1235
103	-0.3002
104	-0.3002
105	-0.3002
106	-0.3002
107	-0.3002
108	-0.3002
109	-2.927
110	-0.2008
111	-0.3002
112	-0.3002
113	-0.3002
114	-0.3002
115	-0.3002
116	-0.3002
117	-0.3002
118	-0.3002
119	-0.3002
120	-0.3002
121	-2.559
122	-0.3002
123	-0.3002
124	-0.3002
125	-0.3002
126	-4.135
127	-0.3002
128	-0.3002
129	-4.135
130	-2.342
131	-0.1235
132	-0.3002
133	-0.3002
134	-2.559
135	-0.3002
136	-2.559
137	-0.1235
138	-0.3002
139	-2.559
140	-0.3002
141	-0.3002
142	-7.266
143	-4.044
144	-2.357
145	-0.1235
146	-0.1235
147	-0.297
148	-0.3002
149	-0.3002
150	-0.3002
151	-0.3002
152	-0.3002
153	-2.559
154	-0.1235
155	-2.559
156	-0.3002
157	-2.927
158	-0.2008
159	-0.2008
160	-2.912
161	-0.3002
162	-0.3002
163	-0.3002
164	-0.3002
165	-6.894
166	-2.893
167	-0.1299
168	-0.197
169	-2.559
170	-0.3002
171	-0.3002
172	-0.3002
173	-0.3002
174	-4.135
175	-2.342
176	-0.3002
177	-0.3002
178	-2.559
179	-0.3002
180	-0.3002
181	-0.3002
182	-0.3002
183	-2.559
184	-3.295
185	-0.3002
186	-0.3002
187	-0.3002
188	-0.3002
189	-8.322
190	-0.2992
191	-0.2992
192	-0.2992
193	-7.276
194	-2.328
195	-0.1235
196	-0.1235
