POS	prob01	prob10
1	0.1883	0.1431
2	1.382	0.9929
3	1.44	0.797
4	0.575	0.7391
5	0.1857	0.1386
6	0.9307	1.025
7	0.1853	0.1376
8	0.1853	0.1376
9	0.1421	0.07064
10	0.1421	0.07064
11	0.1421	0.07064
12	0.575	0.7391
13	0.1853	0.1376
14	0.1421	0.07064
15	0.1421	0.07064
16	0.1421	0.07064
17	0.1421	0.07064
18	0.1421	0.07064
19	0.1421	0.07064
20	0.575	0.7391
21	0.1421	0.07064
22	0.1421	0.07064
23	0.1421	0.07064
24	0.1421	0.07064
25	0.1421	0.07064
26	0.575	0.7391
27	0.1421	0.07064
28	0.1421	0.07064
29	0.1421	0.07064
30	0.1421	0.07064
31	0.1421	0.07064
32	0.1421	0.07064
33	0.1421	0.07064
34	0.1421	0.07064
35	0.1421	0.07064
36	0.1421	0.07064
37	0.1421	0.07064
38	0.1421	0.07064
39	0.1421	0.07064
40	0.8031	1.083
41	0.2378	0.2017
42	0.575	0.7391
43	0.1421	0.07064
44	0.1421	0.07064
45	0.1421	0.07064
46	0.1421	0.07064
47	0.1421	0.07064
48	0.1421	0.07064
49	0.1421	0.07064
50	0.1421	0.07064
51	0.1421	0.07064
52	0.1421	0.07064
53	0.575	0.7391
54	0.1853	0.1376
55	0.1421	0.07064
56	0.1421	0.07064
57	0.1421	0.07064
58	0.1421	0.07064
59	0.1421	0.07064
60	0.5986	0.7781
61	0.1421	0.07064
62	0.1421	0.07064
63	0.1421	0.07064
64	0.1421	0.07064
65	0.1421	0.07064
66	1.131	0.988
67	0.1421	0.07064
68	0.1421	0.07064
69	0.5986	0.7781
70	0.1421	0.07064
71	0.575	0.7391
72	0.1421	0.07064
73	0.1421	0.07064
74	0.1421	0.07064
75	0.1421	0.07064
76	0.1421	0.07064
77	0.1421	0.07064
78	0.1421	0.07064
79	0.1421	0.07064
80	0.9023	1.052
81	0.1421	0.07064
82	0.1421	0.07064
83	0.1421	0.07064
84	0.1421	0.07064
85	0.1421	0.07064
86	0.1421	0.07064
87	0.1421	0.07064
88	0.1421	0.07064
89	0.1421	0.07064
90	0.1421	0.07064
91	0.5986	0.7781
92	0.1421	0.07064
93	0.1421	0.07064
94	0.1421	0.07064
95	0.1421	0.07064
96	0.1421	0.07064
97	0.1421	0.07064
98	0.5986	0.7781
99	0.1421	0.07064
100	0.1421	0.07064
101	0.5986	0.7781
102	0.245	0.2148
103	0.1421	0.07064
104	0.1421	0.07064
105	0.1421	0.07064
106	0.1421	0.07064
107	0.1421	0.07064
108	0.1421	0.07064
109	0.575	0.7391
110	0.1853	0.1376
111	0.1421	0.07064
112	0.1421	0.07064
113	0.1421	0.07064
114	0.1421	0.07064
115	0.1421	0.07064
116	0.1421	0.07064
117	0.1421	0.07064
118	0.1421	0.07064
119	0.1421	0.07064
120	0.1421	0.07064
121	0.5986	0.7781
122	0.1421	0.07064
123	0.1421	0.07064
124	0.1421	0.07064
125	0.1421	0.07064
126	0.9236	1.07
127	0.1421	0.07064
128	0.1421	0.07064
129	0.9236	1.07
130	0.6753	0.8264
131	0.245	0.2148
132	0.1421	0.07064
133	0.1421	0.07064
134	0.5986	0.7781
135	0.1421	0.07064
136	0.5986	0.7781
137	0.245	0.2148
138	0.1421	0.07064
139	0.5986	0.7781
140	0.1421	0.07064
141	0.1421	0.07064
142	1.17	0.758
143	0.9773	0.9624
144	0.6615	0.8405
145	0.245	0.2148
146	0.245	0.2148
147	0.1444	0.07434
148	0.1421	0.07064
149	0.1421	0.07064
150	0.1421	0.07064
151	0.1421	0.07064
152	0.1421	0.07064
153	0.5986	0.7781
154	0.245	0.2148
155	0.5986	0.7781
156	0.1421	0.07064
157	0.575	0.7391
158	0.1853	0.1376
159	0.1853	0.1376
160	0.8386	1.079
161	0.1421	0.07064
162	0.1421	0.07064
163	0.1421	0.07064
164	0.1421	0.07064
165	1.518	1.152
166	0.9337	1.028
167	0.2312	0.2037
168	0.188	0.1421
169	0.5986	0.7781
170	0.1421	0.07064
171	0.1421	0.07064
172	0.1421	0.07064
173	0.1421	0.07064
174	0.9236	1.07
175	0.6753	0.8264
176	0.1421	0.07064
177	0.1421	0.07064
178	0.5986	0.7781
179	0.1421	0.07064
180	0.1421	0.07064
181	0.1421	0.07064
182	0.1421	0.07064
183	0.5986	0.7781
184	0.9023	1.052
185	0.1421	0.07064
186	0.1421	0.07064
187	0.1421	0.07064
188	0.1421	0.07064
189	1.191	0.5814
190	0.1425	0.07179
191	0.1425	0.07179
192	0.1425	0.07179
193	1.048	1.763
194	0.6834	0.8317
195	0.245	0.2148
196	0.245	0.2148
