POS	exp01	exp10
1	0.195	0.1483
2	1.404	1.026
3	1.459	0.8298
4	0.5914	0.7585
5	0.1922	0.1437
6	0.9555	1.053
7	0.1919	0.1426
8	0.1919	0.1426
9	0.1477	0.07263
10	0.1477	0.07263
11	0.1477	0.07263
12	0.5914	0.7585
13	0.1919	0.1426
14	0.1477	0.07263
15	0.1477	0.07263
16	0.1477	0.07263
17	0.1477	0.07263
18	0.1477	0.07263
19	0.1477	0.07263
20	0.5914	0.7585
21	0.1477	0.07263
22	0.1477	0.07263
23	0.1477	0.07263
24	0.1477	0.07263
25	0.1477	0.07263
26	0.5914	0.7585
27	0.1477	0.07263
28	0.1477	0.07263
29	0.1477	0.07263
30	0.1477	0.07263
31	0.1477	0.07263
32	0.1477	0.07263
33	0.1477	0.07263
34	0.1477	0.07263
35	0.1477	0.07263
36	0.1477	0.07263
37	0.1477	0.07263
38	0.1477	0.07263
39	0.1477	0.07263
40	0.8291	1.105
41	0.2457	0.2083
42	0.5914	0.7585
43	0.1477	0.07263
44	0.1477	0.07263
45	0.1477	0.07263
46	0.1477	0.07263
47	0.1477	0.07263
48	0.1477	0.07263
49	0.1477	0.07263
50	0.1477	0.07263
51	0.1477	0.07263
52	0.1477	0.07263
53	0.5914	0.7585
54	0.1919	0.1426
55	0.1477	0.07263
56	0.1477	0.07263
57	0.1477	0.07263
58	0.1477	0.07263
59	0.1477	0.07263
60	0.6141	0.8126
61	0.1477	0.07263
62	0.1477	0.07263
63	0.1477	0.07263
64	0.1477	0.07263
65	0.1477	0.07263
66	1.14	1.024
67	0.1477	0.07263
68	0.1477	0.07263
69	0.6141	0.8126
70	0.1477	0.07263
71	0.5914	0.7585
72	0.1477	0.07263
73	0.1477	0.07263
74	0.1477	0.07263
75	0.1477	0.07263
76	0.1477	0.07263
77	0.1477	0.07263
78	0.1477	0.07263
79	0.1477	0.07263
80	0.9314	1.075
81	0.1477	0.07263
82	0.1477	0.07263
83	0.1477	0.07263
84	0.1477	0.07263
85	0.1477	0.07263
86	0.1477	0.07263
87	0.1477	0.07263
88	0.1477	0.07263
89	0.1477	0.07263
90	0.1477	0.07263
91	0.6141	0.8126
92	0.1477	0.07263
93	0.1477	0.07263
94	0.1477	0.07263
95	0.1477	0.07263
96	0.1477	0.07263
97	0.1477	0.07263
98	0.6141	0.8126
99	0.1477	0.07263
100	0.1477	0.07263
101	0.6141	0.8126
102	0.2535	0.2199
103	0.1477	0.07263
104	0.1477	0.07263
105	0.1477	0.07263
106	0.1477	0.07263
107	0.1477	0.07263
108	0.1477	0.07263
109	0.5914	0.7585
110	0.1919	0.1426
111	0.1477	0.07263
112	0.1477	0.07263
113	0.1477	0.07263
114	0.1477	0.07263
115	0.1477	0.07263
116	0.1477	0.07263
117	0.1477	0.07263
118	0.1477	0.07263
119	0.1477	0.07263
120	0.1477	0.07263
121	0.6141	0.8126
122	0.1477	0.07263
123	0.1477	0.07263
124	0.1477	0.07263
125	0.1477	0.07263
126	0.9387	1.113
127	0.1477	0.07263
128	0.1477	0.07263
129	0.9387	1.113
130	0.6909	0.8621
131	0.2535	0.2199
132	0.1477	0.07263
133	0.1477	0.07263
134	0.6141	0.8126
135	0.1477	0.07263
136	0.6141	0.8126
137	0.2535	0.2199
138	0.1477	0.07263
139	0.6141	0.8126
140	0.1477	0.07263
141	0.1477	0.07263
142	1.177	0.79
143	0.9925	1.002
144	0.677	0.8768
145	0.2535	0.2199
146	0.2535	0.2199
147	0.1501	0.07637
148	0.1477	0.07263
149	0.1477	0.07263
150	0.1477	0.07263
151	0.1477	0.07263
152	0.1477	0.07263
153	0.6141	0.8126
154	0.2535	0.2199
155	0.6141	0.8126
156	0.1477	0.07263
157	0.5914	0.7585
158	0.1919	0.1426
159	0.1919	0.1426
160	0.8614	1.108
161	0.1477	0.07263
162	0.1477	0.07263
163	0.1477	0.07263
164	0.1477	0.07263
165	1.549	1.186
166	0.9585	1.056
167	0.2389	0.2103
168	0.1946	0.1472
169	0.6141	0.8126
170	0.1477	0.07263
171	0.1477	0.07263
172	0.1477	0.07263
173	0.1477	0.07263
174	0.9387	1.113
175	0.6909	0.8621
176	0.1477	0.07263
177	0.1477	0.07263
178	0.6141	0.8126
179	0.1477	0.07263
180	0.1477	0.07263
181	0.1477	0.07263
182	0.1477	0.07263
183	0.6141	0.8126
184	0.9314	1.075
185	0.1477	0.07263
186	0.1477	0.07263
187	0.1477	0.07263
188	0.1477	0.07263
189	1.197	0.6103
190	0.1482	0.07379
191	0.1482	0.07379
192	0.1482	0.07379
193	1.071	1.819
194	0.699	0.8675
195	0.2535	0.2199
196	0.2535	0.2199
