# print values over probCutOff 0.05
G/L	POS	branch	branchLength	distance2root	distance2NearestOTU	numOfNodes2NearestOTU	probability	expectation
gain	1	N2	0.1686	0.1686	0.07016	2	0.08669	0.08974
gain	1	S6	0.1959	0.1959	0	0	0.06353	0.06678
loss	1	S6	0.1959	0.1959	0	0	0.09112	0.09511
gain	2	N2	0.1686	0.1686	0.07016	2	0.1057	0.1093
loss	2	N2	0.1686	0.1686	0.07016	2	0.4339	0.4549
loss	2	N3	0.06772	0.2364	0.002442	1	0.1446	0.1459
gain	2	N5	0.08146	0.2501	0.003067	1	0.09892	0.1
loss	2	N5	0.08146	0.2501	0.003067	1	0.07467	0.07551
loss	2	S1	0.003067	0.2532	0	0	0.1508	0.1508
gain	2	S2	0.004728	0.2548	0	0	0.8492	0.8492
gain	2	S6	0.1959	0.1959	0	0	0.3029	0.3195
loss	2	S6	0.1959	0.1959	0	0	0.1884	0.1988
gain	3	N2	0.1686	0.1686	0.07016	2	0.08919	0.09196
loss	3	N2	0.1686	0.1686	0.07016	2	0.4492	0.4708
loss	3	N3	0.06772	0.2364	0.002442	1	0.07467	0.07529
gain	3	S5	0.001278	0.2417	0	0	0.9893	0.9893
loss	3	N5	0.08146	0.2501	0.003067	1	0.08457	0.08555
gain	3	S6	0.1959	0.1959	0	0	0.3028	0.3192
loss	3	S6	0.1959	0.1959	0	0	0.1756	0.1851
gain	4	N2	0.1686	0.1686	0.07016	2	0.05528	0.05691
loss	4	N2	0.1686	0.1686	0.07016	2	0.5607	0.5769
loss	4	N3	0.06772	0.2364	0.002442	1	0.05529	0.05573
loss	4	N5	0.08146	0.2501	0.003067	1	0.06121	0.06188
gain	4	S6	0.1959	0.1959	0	0	0.4867	0.5013
loss	4	S6	0.1959	0.1959	0	0	0.06158	0.06368
gain	5	N2	0.1686	0.1686	0.07016	2	0.08616	0.08918
gain	5	S6	0.1959	0.1959	0	0	0.06293	0.06614
loss	5	S6	0.1959	0.1959	0	0	0.09054	0.09449
gain	6	N2	0.1686	0.1686	0.07016	2	0.157	0.1634
loss	6	N2	0.1686	0.1686	0.07016	2	0.2807	0.2935
loss	6	N3	0.06772	0.2364	0.002442	1	0.5198	0.5235
gain	6	N5	0.08146	0.2501	0.003067	1	0.5039	0.5086
gain	6	S6	0.1959	0.1959	0	0	0.2489	0.2626
loss	6	S6	0.1959	0.1959	0	0	0.2055	0.2168
gain	7	N2	0.1686	0.1686	0.07016	2	0.08604	0.08906
gain	7	S6	0.1959	0.1959	0	0	0.06282	0.06602
loss	7	S6	0.1959	0.1959	0	0	0.09042	0.09436
gain	8	N2	0.1686	0.1686	0.07016	2	0.08604	0.08906
gain	8	S6	0.1959	0.1959	0	0	0.06282	0.06602
loss	8	S6	0.1959	0.1959	0	0	0.09042	0.09436
gain	9	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	9	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	10	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	10	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	11	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	11	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	12	N2	0.1686	0.1686	0.07016	2	0.05528	0.05691
loss	12	N2	0.1686	0.1686	0.07016	2	0.5607	0.5769
loss	12	N3	0.06772	0.2364	0.002442	1	0.05529	0.05573
loss	12	N5	0.08146	0.2501	0.003067	1	0.06121	0.06188
gain	12	S6	0.1959	0.1959	0	0	0.4867	0.5013
loss	12	S6	0.1959	0.1959	0	0	0.06158	0.06368
gain	13	N2	0.1686	0.1686	0.07016	2	0.08604	0.08906
gain	13	S6	0.1959	0.1959	0	0	0.06282	0.06602
loss	13	S6	0.1959	0.1959	0	0	0.09042	0.09436
gain	14	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	14	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	15	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	15	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	16	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	16	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	17	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	17	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	18	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	18	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	19	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
