# Gain and Loss
branch	branchLength	distance2root	distance2NearestOTU	numOfNodes2NearestOTU	exp01	exp10
N2	0.0107	0.0107	0.0008982	1	1.057	0.136
N3	3.476e-06	0.01071	0.0008947	2	0.0006989	9.271e-06
N4	0.0008942	0.0116	0.003579	1	0.03355	0.006642
N5	0.0004469	0.01205	0.003132	1	0.01553	0.001736
S23	0.003132	0.01518	0	0	0.09025	0.01884
S24	0.004027	0.01607	0	0	0.1177	0.02763
S25	0.004026	0.01563	0	0	0.1425	1.02
N6	0.0008944	0.0116	3.476e-07	1	0.02993	0.003378
S20	3.476e-07	0.0116	0	0	9.182e-06	1.023e-06
S21	0.0008944	0.0125	0	0	0.02404	0.003418
S22	0.002248	0.01295	0	0	0.06801	1.005
N7	0.009713	0.009713	0.008815	2	0.2409	1.014
N8	0.002439	0.01215	0.006376	1	0.1295	0.1771
N9	0.003685	0.01584	0.002691	1	0.08704	0.02768
N10	0.002684	0.01852	6.952e-06	1	1.558	0.009835
N11	3.476e-06	0.01852	3.476e-06	1	0.0009421	4.452e-06
S15	3.476e-06	0.01853	0	0	0.007413	9.104e-06
S17	0.001342	0.01987	0	0	0.352	0.996
S16	0.0008944	0.01942	0	0	0.03454	0.003128
S18	0.004028	0.01986	0	0	0.02281	0.2077
S19	0.01365	0.0258	0	0	0.2377	0.366
N12	0.006	0.01571	0.004922	2	0.1905	0.8853
N13	0.001985	0.0177	0.003235	1	0.0503	0.02137
N14	0.005512	0.02321	0.0004415	1	0.1147	0.5096
S13	0.0004415	0.02365	0	0	0.8869	0.0009324
S14	0.0031	0.02631	0	0	0.01173	0.1269
S12	0.003235	0.02093	0	0	1.683	0.01385
N15	0.004479	0.02019	0.0004427	1	0.5398	0.02981
S5	0.0004427	0.02063	0	0	0.03299	0.0006599
N16	0.0004425	0.02063	0.0004534	1	0.0009839	0.001321
S11	0.003542	0.02418	0	0	0.01435	1.004
N17	3.476e-06	0.02064	0.00045	2	0.0005137	3.672e-06
N18	0.002214	0.02285	3.476e-06	1	0.1175	0.007206
N19	3.476e-06	0.02285	3.476e-06	1	0.0001556	4.362e-06
S2	3.476e-06	0.02286	0	0	0.0001555	4.363e-06
S3	3.476e-06	0.02286	0	0	0.0001555	4.363e-06
S10	3.476e-06	0.02285	0	0	0.0001556	4.362e-06
N20	3.476e-06	0.02064	0.0004465	1	3.435e-05	3.922e-06
S9	0.002657	0.0233	0	0	1.068	0.9983
N21	3.476e-06	0.02064	0.000443	2	0.004382	3.818e-06
N22	0.0004427	0.02109	3.476e-07	1	1.351	0.0006707
S1	3.476e-07	0.02109	0	0	0.6771	1.03e-06
S4	0.0008854	0.02197	0	0	0.04159	1.325
N23	0.0004425	0.02109	6.952e-07	1	0.006214	0.0006908
S8	0.001771	0.02286	0	0	0.004117	1.004
N24	3.476e-07	0.02109	3.476e-07	1	0.001175	3.618e-07
S6	3.476e-07	0.02109	0	0	4.005e-05	3.616e-07
S7	0.0008854	0.02197	0	0	0.04203	0.001711
