# print values over probCutOff 0.05
G/L	POS	branch	branchLength	distance2root	distance2NearestOTU	numOfNodes2NearestOTU	probability	expectation
gain	2	N22	0.0004427	0.02109	3.476e-07	1	0.6615	0.6615
gain	2	S1	3.476e-07	0.02109	0	0	0.3385	0.3385
loss	2	S4	0.0008854	0.02197	0	0	0.6615	0.6615
gain	72	N2	0.0107	0.0107	0.0008982	1	0.3975	0.3979
gain	72	S25	0.004026	0.01563	0	0	0.1263	0.1263
loss	72	N7	0.009713	0.009713	0.008815	2	0.4479	0.4483
gain	72	N10	0.002684	0.01852	6.952e-06	1	0.06047	0.06047
gain	72	N14	0.005512	0.02321	0.0004415	1	0.08092	0.08094
gain	72	S13	0.0004415	0.02365	0	0	0.8861	0.8861
loss	72	S14	0.0031	0.02631	0	0	0.1141	0.1141
gain	72	S12	0.003235	0.02093	0	0	0.07001	0.07002
gain	72	N18	0.002214	0.02285	3.476e-06	1	0.0502	0.0502
gain	72	S9	0.002657	0.0233	0	0	0.05993	0.05993
gain	73	S23	0.003132	0.01518	0	0	0.06908	0.06909
gain	73	S24	0.004027	0.01607	0	0	0.08791	0.08792
gain	73	S22	0.002248	0.01295	0	0	0.05056	0.05057
gain	73	N10	0.002684	0.01852	6.952e-06	1	0.6695	0.6695
gain	73	S17	0.001342	0.01987	0	0	0.3207	0.3207
gain	73	S12	0.003235	0.02093	0	0	0.07236	0.07236
gain	73	N18	0.002214	0.02285	3.476e-06	1	0.05014	0.05014
gain	73	S9	0.002657	0.0233	0	0	0.9999	1
gain	74	N2	0.0107	0.0107	0.0008982	1	0.3143	0.3146
loss	74	S25	0.004026	0.01563	0	0	0.9943	0.9945
loss	74	N7	0.009713	0.009713	0.008815	2	0.3518	0.3521
loss	74	N8	0.002439	0.01215	0.006376	1	0.1614	0.1614
gain	74	N10	0.002684	0.01852	6.952e-06	1	0.8153	0.8153
loss	74	S17	0.001342	0.01987	0	0	0.9927	0.9927
loss	74	S18	0.004028	0.01986	0	0	0.1778	0.1778
loss	74	S19	0.01365	0.0258	0	0	0.1797	0.1799
gain	74	N12	0.006	0.01571	0.004922	2	0.1398	0.1398
loss	74	N14	0.005512	0.02321	0.0004415	1	0.4664	0.4665
gain	74	S12	0.003235	0.02093	0	0	0.5339	0.5339
gain	74	N15	0.004479	0.02019	0.0004427	1	0.515	0.5151
loss	74	S11	0.003542	0.02418	0	0	0.9882	0.9883
loss	74	S9	0.002657	0.0233	0	0	0.9888	0.9888
loss	74	S8	0.001771	0.02286	0	0	0.9988	0.9988
gain	116	S12	0.003235	0.02093	0	0	0.9933	0.9934
loss	140	S22	0.002248	0.01295	0	0	0.9962	0.9963
gain	146	N2	0.0107	0.0107	0.0008982	1	0.08065	0.08072
loss	146	N7	0.009713	0.009713	0.008815	2	0.08642	0.08648
gain	146	N8	0.002439	0.01215	0.006376	1	0.113	0.113
gain	146	S19	0.01365	0.0258	0	0	0.05056	0.05064
loss	146	N12	0.006	0.01571	0.004922	2	0.8377	0.8379
gain	164	N22	0.0004427	0.02109	3.476e-07	1	0.6615	0.6615
gain	164	S1	3.476e-07	0.02109	0	0	0.3385	0.3385
loss	164	S4	0.0008854	0.02197	0	0	0.6615	0.6615
