# print with MP based on the cost matrix: 
#  0->0 =0
#  0->1 =2
#  1->0 =1
#  1->1 =0
G/L	POS	branch	branchLength	distance2Root	distance2NearestOTU	numOfNodes2NearestOTU	probability	expectation
gain	2	S1	1e-07	0.00606671	0	0	1	1
loss	72	N7	0.00279428	0.00279428	0.00253608	2	1	1
gain	72	S13	0.00012701	0.0068043	0	0	1	1
gain	73	S17	0.00038602	0.00571538	0	0	1	1
gain	73	S9	0.00076428	0.00670254	0	0	1	1
loss	74	S25	0.00115827	0.0044957	0	0	1	1
loss	74	S17	0.00038602	0.00571538	0	0	1	1
loss	74	S18	0.00115875	0.00571495	0	0	1	1
loss	74	S19	0.00392574	0.00742164	0	0	1	1
loss	74	N14	0.00158581	0.00667729	0.00012701	1	1	1
loss	74	S11	0.00101908	0.00695534	0	0	1	1
loss	74	S9	0.00076428	0.00670254	0	0	1	1
loss	74	S8	0.00050938	0.00657594	0	0	1	1
gain	116	S12	0.00093062	0.0060221	0	0	1	1
loss	140	S22	0.00064679	0.00372595	0	0	1	1
loss	146	N12	0.00172604	0.00452032	0.00141601	2	1	1
gain	164	S1	1e-07	0.00606671	0	0	1	1
