# print values over probCutOff 0.05
G/L	POS	branch	branchLength	distance2root	distance2NearestOTU	numOfNodes2NearestOTU	probability	expectation
gain	2	S1	0.0005067	0.003839	0	0	0.9964	0.9964
gain	9	S8	4.027e-06	0.003859	0	0	1	1
gain	131	N2	0.00182	0.00182	0.002019	1	0.2521	0.2521
loss	131	S9	0.003038	0.006889	0	0	1	1
loss	131	N14	0.005269	0.005269	0.001521	1	0.7474	0.7475
gain	137	N15	0.00101	0.006279	0.001016	1	0.9739	0.9739
loss	138	S13	0.004562	0.007399	0	0	0.9956	0.9957
gain	139	S1	0.0005067	0.003839	0	0	0.9943	0.9943
gain	139	S12	0.002532	0.004352	0	0	0.998	0.998
gain	151	S17	0.002026	0.008309	0	0	1	1
loss	168	S8	4.027e-06	0.003859	0	0	0.9999	0.9999
