# log Likelihood of tree (entire data)=	-85.44
POS	logLofPos
1	-0.04545
2	-8.417
3	-0.04576
4	-0.04576
5	-0.04576
6	-0.04576
7	-0.04576
8	-0.04576
9	-13.26
10	-0.04576
11	-0.04576
12	-0.04576
13	-0.04576
14	-0.04576
15	-0.04576
16	-0.04576
17	-0.04576
18	-0.04576
19	-0.04576
20	-0.04576
21	-0.04576
22	-0.04576
23	-0.04576
24	-0.04576
25	-0.04576
26	-0.04576
27	-0.04576
28	-0.04576
29	-0.04576
30	-0.04576
31	-0.04576
32	-0.04576
33	-0.04576
34	-0.04576
35	-0.04576
36	-0.04576
37	-0.04576
38	-0.04576
39	-0.04576
40	-0.04576
41	-0.04576
42	-0.04576
43	-0.04576
44	-0.04576
45	-0.04576
46	-0.04576
47	-0.04576
48	-0.04576
49	-0.04576
50	-0.04576
51	-0.04576
52	-0.04576
53	-0.04576
54	-0.04576
55	-0.04576
56	-0.04576
57	-0.04576
58	-0.04576
59	-0.04576
60	-0.04576
61	-0.04576
62	-0.04576
63	-0.04576
64	-0.04576
65	-0.04576
66	-0.04576
67	-0.04576
68	-0.04576
69	-0.04576
70	-0.04576
71	-0.04576
72	-0.04576
73	-0.04576
74	-0.04576
75	-0.04576
76	-0.04576
77	-0.04576
78	-0.04576
79	-0.04576
80	-0.04576
81	-0.04576
82	-0.04576
83	-0.04576
84	-0.04576
85	-0.04576
86	-0.04576
87	-0.04576
88	-0.04576
89	-0.04576
90	-0.04576
91	-0.04576
92	-0.04576
93	-0.04576
94	-0.04576
95	-0.04576
96	-0.04576
97	-0.04576
98	-0.04576
99	-0.04576
100	-0.04576
101	-0.04576
102	-0.04576
103	-0.04576
104	-0.04576
105	-0.04576
106	-0.04576
107	-0.04576
108	-0.04576
109	-0.04576
110	-0.04576
111	-0.04576
112	-0.04576
113	-0.04576
114	-0.04576
115	-0.04576
116	-0.04576
117	-0.04576
118	-0.04576
119	-0.04576
120	-0.04576
121	-0.04576
122	-0.04576
123	-0.04576
124	-0.04576
125	-0.04576
126	-0.04576
127	-0.04576
128	-0.04576
129	-0.04576
130	-0.04576
131	-10.54
132	-0.04576
133	-0.04576
134	-0.04576
135	-0.04576
136	-0.04576
137	-7.66
138	-5.965
139	-12.21
140	-0.02129
141	-0.04576
142	-0.04576
143	-0.04576
144	-0.04576
145	-0.04576
146	-0.04576
147	-0.04576
148	-0.04576
149	-0.04576
150	-0.04576
151	-7.03
152	-0.04576
153	-0.04576
154	-0.04576
155	-0.04576
156	-0.04576
157	-0.04576
158	-0.04576
159	-0.04576
160	-0.04576
161	-0.04576
162	-0.04576
163	-0.04576
164	-0.04576
165	-0.04576
166	-0.04576
167	-0.04576
168	-12.99
169	-0.02129
170	-0.02129
171	-0.02129
