# print with MP based on the cost matrix: 
#  0->0 =0
#  0->1 =2
#  1->0 =1
#  1->1 =0
G/L	POS	branch	branchLength	distance2Root	distance2NearestOTU	numOfNodes2NearestOTU	probability	expectation
gain	2	S1	0.00012584	0.00095332	0	0	1	1
gain	9	S8	1e-06	0.00095833	0	0	1	1
loss	131	S9	0.00075445	0.00171078	0	0	1	1
loss	131	N14	0.00130848	0.00130848	0.00037776	1	1	1
gain	137	N15	0.00025079	0.00155927	0.00025242	1	1	1
loss	138	S13	0.00113303	0.00183744	0	0	1	1
loss	139	N5	0.00012485	0.00095233	6e-06	1	1	1
loss	139	N12	0.00025153	0.00070441	0.00050321	1	1	1
loss	139	N14	0.00130848	0.00130848	0.00037776	1	1	1
gain	151	S17	0.00050312	0.00206339	0	0	1	1
loss	168	S8	1e-06	0.00095833	0	0	1	1
