POS	occur	unknown
1	16	1
2	1	0
3	17	0
4	17	0
5	17	0
6	17	0
7	17	0
8	17	0
9	1	0
10	17	0
11	17	0
12	17	0
13	17	0
14	17	0
15	17	0
16	17	0
17	17	0
18	17	0
19	17	0
20	17	0
21	17	0
22	17	0
23	17	0
24	17	0
25	17	0
26	17	0
27	17	0
28	17	0
29	17	0
30	17	0
31	17	0
32	17	0
33	17	0
34	17	0
35	17	0
36	17	0
37	17	0
38	17	0
39	17	0
40	17	0
41	17	0
42	17	0
43	17	0
44	17	0
45	17	0
46	17	0
47	17	0
48	17	0
49	17	0
50	17	0
51	17	0
52	17	0
53	17	0
54	17	0
55	17	0
56	17	0
57	17	0
58	17	0
59	17	0
60	17	0
61	17	0
62	17	0
63	17	0
64	17	0
65	17	0
66	17	0
67	17	0
68	17	0
69	17	0
70	17	0
71	17	0
72	17	0
73	17	0
74	17	0
75	17	0
76	17	0
77	17	0
78	17	0
79	17	0
80	17	0
81	17	0
82	17	0
83	17	0
84	17	0
85	17	0
86	17	0
87	17	0
88	17	0
89	17	0
90	17	0
91	17	0
92	17	0
93	17	0
94	17	0
95	17	0
96	17	0
97	17	0
98	17	0
99	17	0
100	17	0
101	17	0
102	17	0
103	17	0
104	17	0
105	17	0
106	17	0
107	17	0
108	17	0
109	17	0
110	17	0
111	17	0
112	17	0
113	17	0
114	17	0
115	17	0
116	17	0
117	17	0
118	17	0
119	17	0
120	17	0
121	17	0
122	17	0
123	17	0
124	17	0
125	17	0
126	17	0
127	17	0
128	17	0
129	17	0
130	17	0
131	12	0
132	17	0
133	17	0
134	17	0
135	17	0
136	17	0
137	3	0
138	14	2
139	2	0
140	1	16
141	17	0
142	17	0
143	17	0
144	17	0
145	17	0
146	17	0
147	17	0
148	17	0
149	17	0
150	17	0
151	1	0
152	17	0
153	17	0
154	17	0
155	17	0
156	17	0
157	17	0
158	17	0
159	17	0
160	17	0
161	17	0
162	17	0
163	17	0
164	17	0
165	17	0
166	17	0
167	17	0
168	16	0
169	1	16
170	1	16
171	1	16
