POS	prob01	prob10
1	0.0006655	0.0002742
2	0.0006655	0.0002742
3	0.0006655	0.0002742
4	0.0006655	0.0002742
5	0.0006655	0.0002742
6	0.0006655	0.0002742
7	0.0006655	0.0002742
8	0.0006655	0.0002742
9	0.0006655	0.0002742
10	0.0006655	0.0002742
11	0.0006655	0.0002742
12	0.0006655	0.0002742
13	0.0006655	0.0002742
14	0.0006655	0.0002742
15	0.0006655	0.0002742
16	0.0006655	0.0002742
17	0.0006655	0.0002742
18	0.0006655	0.0002742
19	0.9969	0.009559
20	0.0006655	0.0002742
21	0.0006655	0.0002742
22	0.0006655	0.0002742
23	0.0006655	0.0002742
24	0.0006655	0.0002742
25	0.0006655	0.0002742
26	0.0006655	0.0002742
27	0.0006655	0.0002742
28	0.0006655	0.0002742
29	0.0006655	0.0002742
30	0.0006655	0.0002742
31	0.0006655	0.0002742
32	0.0006655	0.0002742
33	0.0006655	0.0002742
34	0.0006655	0.0002742
35	0.0006655	0.0002742
36	0.0006655	0.0002742
37	0.0006655	0.0002742
38	0.0006655	0.0002742
39	0.0006655	0.0002742
40	0.0006655	0.0002742
41	0.0006655	0.0002742
42	0.0006655	0.0002742
43	0.0006655	0.0002742
44	0.0006655	0.0002742
45	0.0006655	0.0002742
46	0.0006655	0.0002742
47	0.0006655	0.0002742
48	0.0006655	0.0002742
49	0.0006655	0.0002742
50	0.0006655	0.0002742
51	0.0006655	0.0002742
52	0.0006655	0.0002742
53	0.0006655	0.0002742
54	0.0006655	0.0002742
55	0.0006655	0.0002742
56	0.0006655	0.0002742
57	0.0006655	0.0002742
58	0.0006655	0.0002742
59	0.0006655	0.0002742
60	0.0006655	0.0002742
61	0.0006655	0.0002742
62	0.0006655	0.0002742
63	0.0006655	0.0002742
64	0.0006655	0.0002742
65	0.0006655	0.0002742
66	0.0006655	0.0002742
67	0.0006655	0.0002742
68	0.0006655	0.0002742
69	0.0006655	0.0002742
70	0.0006655	0.0002742
71	0.0006655	0.0002742
72	0.0006655	0.0002742
73	0.0006655	0.0002742
74	0.0006655	0.0002742
75	0.0006655	0.0002742
76	0.0006655	0.0002742
77	0.0006655	0.0002742
78	0.0006655	0.0002742
79	0.0006655	0.0002742
80	0.0006655	0.0002742
81	0.0006655	0.0002742
82	0.0006655	0.0002742
83	0.0006655	0.0002742
84	0.0006655	0.0002742
85	0.0006655	0.0002742
86	0.0006655	0.0002742
87	0.0006655	0.0002742
88	0.0006655	0.0002742
89	0.0006655	0.0002742
90	0.0006655	0.0002742
91	0.0006655	0.0002742
92	0.0006655	0.0002742
93	0.0006655	0.0002742
94	0.0006655	0.0002742
95	0.0006655	0.0002742
96	0.0006655	0.0002742
97	0.0006655	0.0002742
98	0.0006655	0.0002742
99	0.0006655	0.0002742
100	0.0006655	0.0002742
101	0.0006655	0.0002742
102	0.0006655	0.0002742
103	0.0006655	0.0002742
104	0.0006655	0.0002742
105	0.0006655	0.0002742
106	0.0006655	0.0002742
107	0.0006655	0.0002742
108	0.0006655	0.0002742
109	0.0006655	0.0002742
110	0.0006655	0.0002742
111	0.0006655	0.0002742
112	0.0006655	0.0002742
113	0.0006655	0.0002742
114	0.0006655	0.0002742
115	0.0006655	0.0002742
116	0.0006655	0.0002742
117	0.4026	0.6002
118	0.0006655	0.0002742
119	0.0006655	0.0002742
120	0.0006655	0.0002742
121	0.0006655	0.0002742
122	0.0006655	0.0002742
123	0.0006655	0.0002742
124	0.009727	0.01363
125	0.4026	0.6002
126	0.009727	0.01363
127	0.0006655	0.0002742
128	0.0006655	0.0002742
129	0.0006655	0.0002742
130	0.0006655	0.0002742
131	0.0006655	0.0002742
132	0.0006655	0.0002742
133	0.0006655	0.0002742
134	0.0006655	0.0002742
135	0.0006655	0.0002742
136	0.592	0.4091
137	0.006574	0.009095
138	0.006574	0.009095
139	0.0006655	0.0002742
140	0.0006655	0.0002742
141	0.9747	0.06874
142	0.00113	0.002366
