# log Likelihood of tree (entire data)=	-30.24
POS	logLofPos
1	-0.04377
2	-0.04377
3	-0.04377
4	-0.04377
5	-0.04377
6	-0.04377
7	-0.04377
8	-0.04377
9	-0.04377
10	-0.04377
11	-0.04377
12	-0.04377
13	-0.04377
14	-0.04377
15	-0.04377
16	-0.04377
17	-0.04377
18	-0.04377
19	-5.277
20	-0.04377
21	-0.04377
22	-0.04377
23	-0.04377
24	-0.04377
25	-0.04377
26	-0.04377
27	-0.04377
28	-0.04377
29	-0.04377
30	-0.04377
31	-0.04377
32	-0.04377
33	-0.04377
34	-0.04377
35	-0.04377
36	-0.04377
37	-0.04377
38	-0.04377
39	-0.04377
40	-0.04377
41	-0.04377
42	-0.04377
43	-0.04377
44	-0.04377
45	-0.04377
46	-0.04377
47	-0.04377
48	-0.04377
49	-0.04377
50	-0.04377
51	-0.04377
52	-0.04377
53	-0.04377
54	-0.04377
55	-0.04377
56	-0.04377
57	-0.04377
58	-0.04377
59	-0.04377
60	-0.04377
61	-0.04377
62	-0.04377
63	-0.04377
64	-0.04377
65	-0.04377
66	-0.04377
67	-0.04377
68	-0.04377
69	-0.04377
70	-0.04377
71	-0.04377
72	-0.04377
73	-0.04377
74	-0.04377
75	-0.04377
76	-0.04377
77	-0.04377
78	-0.04377
79	-0.04377
80	-0.04377
81	-0.04377
82	-0.04377
83	-0.04377
84	-0.04377
85	-0.04377
86	-0.04377
87	-0.04377
88	-0.04377
89	-0.04377
90	-0.04377
91	-0.04377
92	-0.04377
93	-0.04377
94	-0.04377
95	-0.04377
96	-0.04377
97	-0.04377
98	-0.04377
99	-0.04377
100	-0.04377
101	-0.04377
102	-0.04377
103	-0.04377
104	-0.04377
105	-0.04377
106	-0.04377
107	-0.04377
108	-0.04377
109	-0.04377
110	-0.04377
111	-0.04377
112	-0.04377
113	-0.04377
114	-0.04377
115	-0.04377
116	-0.04377
117	-4.249
118	-0.04377
119	-0.04377
120	-0.04377
121	-0.04377
122	-0.04377
123	-0.04377
124	-0.0215
125	-4.249
126	-0.0215
127	-0.04377
128	-0.04377
129	-0.04377
130	-0.04377
131	-0.04377
132	-0.04377
133	-0.04377
134	-0.04377
135	-0.04377
136	-4.27
137	-0.02896
138	-0.02896
139	-0.04377
140	-0.04377
141	-6.279
142	-0.0415
