# Gain and Loss
branch	branchLength	distance2root	distance2NearestOTU	numOfNodes2NearestOTU	exp01	exp10
N2	0.003784	0.003784	0.007721	2	0.2234	0.3916
N3	0.004481	0.008266	0.003239	1	1.011	0.02702
N4	0.0034	0.01167	0.0007715	1	0.8101	0.0616
N5	0.0007626	0.01243	8.947e-06	1	0.007336	0.002775
N6	2.982e-06	0.01243	5.965e-06	1	3.908e-05	9.538e-06
N7	2.982e-06	0.01243	2.982e-06	1	0.006734	1.385e-05
S2	0.001543	0.01398	0	0	2.021	1.016
S4	2.982e-06	0.01244	0	0	0.9952	1.386e-05
S3	0.001153	0.01358	0	0	0.005979	0.004265
S5	0.003461	0.01589	0	0	0.02084	0.01552
S6	0.003849	0.01551	0	0	0.02715	0.01785
S1	0.003239	0.01151	0	0	2.984	0.2369
N8	0.006362	0.01015	0.001827	1	0.3218	0.6038
S9	0.001827	0.01197	0	0	1.991	0.9931
N9	0.0004646	0.01061	0.001527	1	0.008439	0.01075
S7	0.001527	0.01214	0	0	0.001158	0.001108
S8	0.001909	0.01252	0	0	0.00166	0.00161
N10	0.0111	0.0111	0.002537	1	1.17	0.6272
S10	0.002537	0.01364	0	0	0.01025	0.005012
S11	0.005854	0.01695	0	0	0.02087	0.01564
