# print with MP based on the cost matrix: 
#  0->0 =0
#  0->1 =2
#  1->0 =1
#  1->1 =0
G/L	POS	branch	branchLength	distance2Root	distance2NearestOTU	numOfNodes2NearestOTU	probability	expectation
gain	2	S1	0.0010862	0.00385784	0	0	1	1
gain	3	S2	0.00051732	0.00468662	0	0	1	1
gain	4	S4	1e-06	0.0041703	0	0	1	1
gain	28	S9	0.00061256	0.00401486	0	0	1	1
loss	45	S9	0.00061256	0.00401486	0	0	1	1
gain	62	S9	0.00061256	0.00401486	0	0	1	1
gain	80	S1	0.0010862	0.00385784	0	0	1	1
gain	124	N3	0.00150265	0.00277164	0.0010862	1	1	1
loss	125	N10	0.00372211	0.00372211	0.00085068	1	1	1
loss	126	N2	0.00126899	0.00126899	0.00258885	2	1	1
loss	147	S2	0.00051732	0.00468662	0	0	1	1
loss	147	S1	0.0010862	0.00385784	0	0	1	1
loss	147	N8	0.00213331	0.0034023	0.00061256	1	1	1
gain	170	S2	0.00051732	0.00468662	0	0	1	1
gain	173	S1	0.0010862	0.00385784	0	0	1	1
