# print values over probCutOff 0.05
G/L	POS	branch	branchLength	distance2root	distance2NearestOTU	numOfNodes2NearestOTU	probability
gain	2	S1	0.003239	0.01151	0	0	0.9844
gain	3	S2	0.001543	0.01398	0	0	0.998
gain	4	S4	2.982e-06	0.01244	0	0	0.9952
gain	28	S9	0.001827	0.01197	0	0	0.9947
loss	45	S9	0.001827	0.01197	0	0	0.9916
gain	62	S9	0.001827	0.01197	0	0	0.9947
gain	80	S1	0.003239	0.01151	0	0	0.9844
gain	124	N3	0.004481	0.008266	0.003239	1	0.9266
loss	124	N8	0.006362	0.01015	0.001827	1	0.0627
gain	125	N2	0.003784	0.003784	0.007721	2	0.1771
gain	125	N8	0.006362	0.01015	0.001827	1	0.2952
loss	125	N10	0.0111	0.0111	0.002537	1	0.5262
loss	126	N2	0.003784	0.003784	0.007721	2	0.1784
loss	126	N8	0.006362	0.01015	0.001827	1	0.3027
gain	126	N10	0.0111	0.0111	0.002537	1	0.5164
loss	147	N2	0.003784	0.003784	0.007721	2	0.2014
gain	147	N4	0.0034	0.01167	0.0007715	1	0.7784
loss	147	S2	0.001543	0.01398	0	0	1
loss	147	S1	0.003239	0.01151	0	0	0.2184
loss	147	N8	0.006362	0.01015	0.001827	1	0.2126
gain	147	N10	0.0111	0.0111	0.002537	1	0.5829
gain	170	S2	0.001543	0.01398	0	0	1
gain	173	S1	0.003239	0.01151	0	0	0.9844
