# Gain and Loss
branch	branchLength	distance2root	distance2NearestOTU	numOfNodes2NearestOTU	exp01	exp10
N2	0.006071	0.006071	0.0009767	2	0.6257	0.6276
N3	0.001212	0.007283	0.0001101	1	0.0002841	0.002112
N4	8.526e-07	0.007284	0.0001093	1	3.066e-08	8.897e-06
S3	0.0001093	0.007393	0	0	4.009e-06	0.0001738
S4	0.001094	0.008377	0	0	0.0001397	0.001829
S5	0.0002202	0.007503	0	0	2	0.001574
N5	0.0006488	0.00672	0.000328	1	0.000684	0.001123
S1	0.0003285	0.007048	0	0	0.9995	0.000787
S2	0.000328	0.007048	0	0	1.855e-05	0.001052
N6	0.003815	0.003815	0.0015	2	0.3966	0.3909
N7	0.001054	0.004869	0.001339	1	0.001106	0.002209
S12	0.001339	0.006209	0	0	0.001385	0.002279
S13	0.001622	0.006492	0	0	0.001548	1
N8	0.00106	0.004875	0.0004395	1	0.0002923	0.001868
S11	0.001972	0.006847	0	0	0.0003908	0.003466
N9	8.526e-07	0.004876	0.0004387	1	1.43e-08	1.346e-06
S9	0.0008759	0.005752	0	0	8.476e-05	0.001452
N10	8.526e-07	0.004877	0.0004378	1	1.349e-08	1.346e-06
S10	0.0008758	0.005753	0	0	8.475e-05	0.001452
N11	0.0001094	0.004986	0.0003284	1	2.831e-06	0.0001738
S6	0.0003284	0.005315	0	0	1.523e-05	0.0005281
N12	0.0003284	0.005315	0.0002189	1	1.523e-05	0.0005282
S7	0.0002189	0.005534	0	0	8.096e-06	0.0003497
S8	0.000876	0.006191	0	0	8.561e-05	0.001452
