# log Likelihood of tree (entire data)=	-48.46
POS	logLofPos
1	-0.03785
2	-8.303
3	-8.704
4	-0.03811
5	-0.03828
6	-0.03828
7	-0.03828
8	-0.03828
9	-0.03828
10	-0.03828
11	-0.03828
12	-0.03828
13	-0.03828
14	-0.03828
15	-0.03828
16	-0.03828
17	-0.03828
18	-0.03828
19	-0.03828
20	-0.03828
21	-0.03828
22	-0.03828
23	-0.03828
24	-0.03828
25	-0.03828
26	-0.03828
27	-0.03828
28	-0.03828
29	-0.03828
30	-0.03828
31	-0.03828
32	-0.03828
33	-0.03828
34	-0.03828
35	-0.03828
36	-0.03828
37	-0.03828
38	-0.03828
39	-0.03828
40	-0.03828
41	-0.03828
42	-0.03828
43	-0.03828
44	-0.03828
45	-0.03828
46	-0.03828
47	-0.03828
48	-0.03828
49	-0.03828
50	-0.03828
51	-0.03828
52	-0.03828
53	-0.03828
54	-0.03828
55	-0.03828
56	-0.03828
57	-0.03828
58	-0.03828
59	-0.03828
60	-0.03828
61	-0.03828
62	-0.03828
63	-0.03828
64	-0.03828
65	-0.03828
66	-0.03828
67	-0.03828
68	-0.03828
69	-0.03828
70	-0.03828
71	-0.03828
72	-0.03828
73	-0.03828
74	-0.03828
75	-0.03828
76	-0.02736
77	-4.895
78	-0.03828
79	-0.03828
80	-0.03828
81	-0.03828
82	-0.03828
83	-0.03828
84	-0.03828
85	-0.03828
86	-0.03828
87	-0.03828
88	-0.03828
89	-0.03828
90	-0.03828
91	-0.03828
92	-0.03828
93	-0.03828
94	-0.03828
95	-0.03828
96	-0.03828
97	-0.03828
98	-0.03828
99	-0.03828
100	-0.03828
101	-0.03828
102	-0.03828
103	-0.03828
104	-0.03828
105	-0.03828
106	-0.03828
107	-0.03828
108	-0.03828
109	-4.891
110	-0.02203
111	-0.03828
112	-0.03828
113	-0.03828
114	-0.03828
115	-0.03828
116	-0.03828
117	-0.03828
118	-0.03828
119	-0.03828
120	-0.03828
121	-0.03828
122	-0.03828
123	-0.03828
124	-0.03828
125	-0.03828
126	-0.03828
127	-0.03828
128	-0.03828
129	-0.03828
130	-0.03828
131	-0.03828
132	-0.03828
133	-0.03828
134	-0.03828
135	-0.03828
136	-0.03828
137	-0.03828
138	-0.03828
139	-0.03828
140	-0.03828
141	-0.03828
142	-0.03828
143	-0.03828
144	-0.03828
145	-0.03828
146	-0.03828
147	-0.03828
148	-0.03828
149	-0.03828
150	-0.03828
151	-0.03828
152	-0.03828
153	-0.03828
154	-0.03828
155	-0.03828
156	-0.03828
157	-0.03828
158	-0.03828
159	-6.692
160	-0.01891
161	-0.03828
162	-0.03828
163	-0.03828
164	-0.03828
165	-0.03828
166	-0.03811
167	-8.704
168	-0.03811
169	-0.03811
170	-0.03811
171	-0.03811
