# Various MP prints: 
#  0->0 =0
#  0->1 =2
#  1->0 =1
#  1->1 =0
0 0 
0 24 
23 1 
0 0 
23 1 
0 0 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
14 0 
1 9 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
8 0 
1 15 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
1 23 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
23 1 
0 0 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
0 0 
0 24 
