# Gain and Loss
branch	branchLength	distance2root	distance2NearestOTU	numOfNodes2NearestOTU	exp01	exp10
N2	0.001575	0.001575	1.533e-05	1	0.0002176	0.0002168
N3	3.067e-06	0.001578	1.227e-05	2	3.677e-09	8.439e-10
N4	0.0003936	0.001971	0.001181	2	1.389e-05	1.406e-05
N5	0.0003937	0.002365	0.001181	1	0.0004224	0.000437
N6	0.001575	0.00394	3.067e-06	1	0.0002161	1
S11	3.067e-06	0.003943	0	0	1.766e-09	1.194e-06
S12	0.0007867	0.004727	0	0	5.412e-05	5.532e-05
S10	0.001181	0.003546	0	0	1	0.0001214
N7	0.0007873	0.002759	0.0003936	1	0.0006641	5.585e-05
S1	0.0003956	0.003154	0	0	0.9994	0.001233
S2	0.0003936	0.003152	0	0	1.495e-05	0.000623
N8	3.067e-06	0.001581	9.2e-06	1	8.251e-10	8.253e-10
S7	0.001181	0.002762	0	0	0.0001219	0.0001219
N9	3.067e-06	0.001584	6.134e-06	2	8.253e-10	8.235e-10
N10	0.0003935	0.001977	3.067e-07	1	1.354e-05	1.354e-05
S3	3.067e-07	0.001978	0	0	3.197e-11	8.388e-12
S5	0.0007871	0.002765	0	0	5.418e-05	5.418e-05
N11	3.067e-06	0.001587	3.067e-06	1	8.234e-10	8.244e-10
S4	3.067e-06	0.00159	0	0	8.244e-10	8.225e-10
S8	0.0007872	0.002374	0	0	5.418e-05	5.418e-05
S9	0.002362	0.003937	0	0	0.0004877	0.0004877
S6	3.067e-06	3.067e-06	0	0	8.342e-07	1.171e-08
