POS	exp01	exp10
1	9.187e-06	9.174e-06
2	1	0.0004181
3	9.187e-06	9.174e-06
4	9.187e-06	9.174e-06
5	9.187e-06	9.174e-06
6	9.187e-06	9.174e-06
7	9.187e-06	9.174e-06
8	9.187e-06	9.174e-06
9	9.187e-06	9.174e-06
10	9.187e-06	9.174e-06
11	9.187e-06	9.174e-06
12	9.187e-06	9.174e-06
13	9.187e-06	9.174e-06
14	9.187e-06	9.174e-06
15	9.187e-06	9.174e-06
16	9.187e-06	9.174e-06
17	9.187e-06	9.174e-06
18	9.187e-06	9.174e-06
19	9.187e-06	9.174e-06
20	9.187e-06	9.174e-06
21	9.187e-06	9.174e-06
22	9.187e-06	9.174e-06
23	9.187e-06	9.174e-06
24	9.187e-06	9.174e-06
25	9.187e-06	9.174e-06
26	9.187e-06	9.174e-06
27	9.187e-06	9.174e-06
28	9.187e-06	9.174e-06
29	9.187e-06	9.174e-06
30	9.187e-06	9.174e-06
31	9.187e-06	9.174e-06
32	9.187e-06	9.174e-06
33	9.187e-06	9.174e-06
34	9.187e-06	9.174e-06
35	9.187e-06	9.174e-06
36	9.187e-06	9.174e-06
37	9.187e-06	9.174e-06
38	9.187e-06	9.174e-06
39	9.187e-06	9.174e-06
40	9.187e-06	9.174e-06
41	9.187e-06	9.174e-06
42	9.187e-06	9.174e-06
43	9.187e-06	9.174e-06
44	9.187e-06	9.174e-06
45	9.187e-06	9.174e-06
46	9.187e-06	9.174e-06
47	9.187e-06	9.174e-06
48	9.187e-06	9.174e-06
49	9.187e-06	9.174e-06
50	9.187e-06	9.174e-06
51	9.187e-06	9.174e-06
52	9.187e-06	9.174e-06
53	9.187e-06	9.174e-06
54	9.187e-06	9.174e-06
55	9.187e-06	9.174e-06
56	9.187e-06	9.174e-06
57	9.187e-06	9.174e-06
58	9.187e-06	9.174e-06
59	9.187e-06	9.174e-06
60	9.187e-06	9.174e-06
61	9.187e-06	9.174e-06
62	9.187e-06	9.174e-06
63	9.187e-06	9.174e-06
64	9.187e-06	9.174e-06
65	9.187e-06	9.174e-06
66	9.187e-06	9.174e-06
67	9.187e-06	9.174e-06
68	9.187e-06	9.174e-06
69	9.187e-06	9.174e-06
70	9.187e-06	9.174e-06
71	9.187e-06	9.174e-06
72	9.187e-06	9.174e-06
73	9.187e-06	9.174e-06
74	9.187e-06	9.174e-06
75	9.187e-06	9.174e-06
76	9.187e-06	9.174e-06
77	9.187e-06	9.174e-06
78	9.187e-06	9.174e-06
79	9.187e-06	9.174e-06
80	9.187e-06	9.174e-06
81	9.187e-06	9.174e-06
82	0.0004326	1
83	9.187e-06	9.174e-06
84	9.187e-06	9.174e-06
85	9.187e-06	9.174e-06
86	9.187e-06	9.174e-06
87	9.187e-06	9.174e-06
88	9.187e-06	9.174e-06
89	9.187e-06	9.174e-06
90	9.187e-06	9.174e-06
91	9.187e-06	9.174e-06
92	9.187e-06	9.174e-06
93	9.187e-06	9.174e-06
94	9.187e-06	9.174e-06
95	9.187e-06	9.174e-06
96	9.187e-06	9.174e-06
97	9.187e-06	9.174e-06
98	9.187e-06	9.174e-06
99	9.187e-06	9.174e-06
100	9.187e-06	9.174e-06
101	9.187e-06	9.174e-06
102	9.187e-06	9.174e-06
103	9.187e-06	9.174e-06
104	9.187e-06	9.174e-06
105	9.187e-06	9.174e-06
106	9.187e-06	9.174e-06
107	9.187e-06	9.174e-06
108	9.187e-06	9.174e-06
109	9.187e-06	9.174e-06
110	9.187e-06	9.174e-06
111	9.187e-06	9.174e-06
112	9.187e-06	9.174e-06
113	9.187e-06	9.174e-06
114	9.187e-06	9.174e-06
115	9.187e-06	9.174e-06
116	9.187e-06	9.174e-06
117	9.187e-06	9.174e-06
118	9.187e-06	9.174e-06
119	9.187e-06	9.174e-06
120	9.187e-06	9.174e-06
121	9.187e-06	9.174e-06
122	9.187e-06	9.174e-06
123	9.187e-06	9.174e-06
124	9.187e-06	9.174e-06
125	9.187e-06	9.174e-06
126	9.187e-06	9.174e-06
127	9.187e-06	9.174e-06
128	9.187e-06	9.174e-06
129	9.187e-06	9.174e-06
130	9.187e-06	9.174e-06
131	9.187e-06	9.174e-06
132	9.187e-06	9.174e-06
133	9.187e-06	9.174e-06
134	9.187e-06	9.174e-06
135	9.187e-06	9.174e-06
136	9.187e-06	9.174e-06
137	9.187e-06	9.174e-06
138	9.187e-06	9.174e-06
139	9.187e-06	9.174e-06
140	9.187e-06	9.174e-06
141	9.187e-06	9.174e-06
142	9.187e-06	9.174e-06
143	9.187e-06	9.174e-06
144	9.187e-06	9.174e-06
145	9.187e-06	9.174e-06
146	9.187e-06	9.174e-06
147	9.187e-06	9.174e-06
148	9.187e-06	9.174e-06
149	9.187e-06	9.174e-06
150	9.187e-06	9.174e-06
151	9.187e-06	9.174e-06
152	9.187e-06	9.174e-06
153	9.187e-06	9.174e-06
154	1	0.0006189
155	9.529e-06	0.0003144
156	9.529e-06	0.0003144
157	9.529e-06	0.0003144
158	9.529e-06	0.0003144
