POS	occur	unknown
1	9	2
2	2	0
3	9	2
4	11	0
5	11	0
6	10	0
7	11	0
8	11	0
9	11	0
10	11	0
11	11	0
12	11	0
13	11	0
14	11	0
15	11	0
16	11	0
17	11	0
18	11	0
19	11	0
20	11	0
21	11	0
22	8	0
23	11	0
24	11	0
25	11	0
26	11	0
27	11	0
28	11	0
29	11	0
30	11	0
31	11	0
32	11	0
33	11	0
34	11	0
35	11	0
36	6	0
37	5	6
38	11	0
39	11	0
40	11	0
41	11	0
42	11	0
43	11	0
44	11	0
45	11	0
46	11	0
47	11	0
48	11	0
49	11	0
50	11	0
51	5	0
52	11	0
53	11	0
54	11	0
55	11	0
56	11	0
57	6	0
58	2	0
59	9	2
60	11	0
61	2	0
62	9	2
63	6	2
64	3	8
65	5	0
66	11	0
67	1	0
68	11	0
69	11	0
70	11	0
71	11	0
72	11	0
73	5	0
74	6	5
75	11	0
76	11	0
77	11	0
78	11	0
79	11	0
80	11	0
81	11	0
82	11	0
83	11	0
84	11	0
85	11	0
86	11	0
87	11	0
88	11	0
89	11	0
90	11	0
91	11	0
92	11	0
93	11	0
94	11	0
95	11	0
96	11	0
97	11	0
98	11	0
99	11	0
100	11	0
101	11	0
102	11	0
103	11	0
104	11	0
105	11	0
106	11	0
107	11	0
108	11	0
109	11	0
110	11	0
111	11	0
112	11	0
113	11	0
114	11	0
115	5	0
116	6	5
117	6	5
118	11	0
119	5	0
120	6	5
121	11	0
122	11	0
123	11	0
124	11	0
125	11	0
126	11	0
127	11	0
128	11	0
129	6	0
130	2	6
131	11	0
132	11	0
133	5	0
134	6	5
135	1	0
136	10	1
137	10	1
138	10	1
139	10	1
140	5	1
141	10	1
142	11	0
143	11	0
144	11	0
145	11	0
146	1	0
147	11	0
148	11	0
149	11	0
150	11	0
151	11	0
152	11	0
153	5	0
154	6	5
155	11	0
156	11	0
157	11	0
158	11	0
159	11	0
160	11	0
161	11	0
162	11	0
163	11	0
164	11	0
165	11	0
166	9	0
167	2	9
