# log Likelihood of tree (entire data)=	-146.9
POS	logLofPos
1	-0.1555
2	-16.6
3	-0.1555
4	-0.1566
5	-0.1566
6	-9.241
7	-0.1566
8	-0.1566
9	-0.1566
10	-0.1566
11	-0.1566
12	-0.1566
13	-0.1566
14	-0.1566
15	-0.1566
16	-0.1566
17	-0.1566
18	-0.1566
19	-0.1566
20	-0.1566
21	-0.1566
22	-4.714
23	-0.1566
24	-0.1566
25	-0.1566
26	-0.1566
27	-0.1566
28	-0.1566
29	-0.1566
30	-0.1566
31	-0.1566
32	-0.1566
33	-0.1566
34	-0.1566
35	-0.1566
36	-3.407
37	-0.09245
38	-0.1566
39	-0.1566
40	-0.1566
41	-0.1566
42	-0.1566
43	-0.1566
44	-0.1566
45	-0.1566
46	-0.1566
47	-0.1566
48	-0.1566
49	-0.1566
50	-0.1566
51	-3.263
52	-0.1566
53	-0.1566
54	-0.1566
55	-0.1566
56	-0.1566
57	-3.407
58	-6.006
59	-0.1428
60	-0.1566
61	-7.332
62	-0.1512
63	-3.348
64	-0.08636
65	-3.263
66	-0.1566
67	-7.769
68	-0.1566
69	-0.1566
70	-0.1566
71	-0.1566
72	-0.1566
73	-3.263
74	-0.07849
75	-0.1566
76	-0.1566
77	-0.1566
78	-0.1566
79	-0.1566
80	-0.1566
81	-0.1566
82	-0.1566
83	-0.1566
84	-0.1566
85	-0.1566
86	-0.1566
87	-0.1566
88	-0.1566
89	-0.1566
90	-0.1566
91	-0.1566
92	-0.1566
93	-0.1566
94	-0.1566
95	-0.1566
96	-0.1566
97	-0.1566
98	-0.1566
99	-0.1566
100	-0.1566
101	-0.1566
102	-0.1566
103	-0.1566
104	-0.1566
105	-0.1566
106	-0.1566
107	-0.1566
108	-0.1566
109	-0.1566
110	-0.1566
111	-0.1566
112	-0.1566
113	-0.1566
114	-0.1566
115	-3.263
116	-0.07849
117	-0.07849
118	-0.1566
119	-3.263
120	-0.07849
121	-0.1566
122	-0.1566
123	-0.1566
124	-0.1566
125	-0.1566
126	-0.1566
127	-0.1566
128	-0.1566
129	-3.407
130	-4.404
131	-0.1566
132	-0.1566
133	-3.263
134	-0.07849
135	-7.509
136	-0.1545
137	-0.1545
138	-0.1545
139	-0.1545
140	-3.236
141	-0.1545
142	-0.1566
143	-0.1566
144	-0.1566
145	-0.1566
146	-9.032
147	-0.1566
148	-0.1566
149	-0.1566
150	-0.1566
151	-0.1566
152	-0.1566
153	-3.263
154	-0.07849
155	-0.1566
156	-0.1566
157	-0.1566
158	-0.1566
159	-0.1566
160	-0.1566
161	-0.1566
162	-0.1566
163	-0.1566
164	-0.1566
165	-0.1566
166	-12.61
167	-0.08164
