POS	exp01	exp10
1	0.05163	0.02398
2	1.434	2.525
3	0.05163	0.02398
4	0.05077	0.02287
5	0.05077	0.02287
6	1.698	1.048
7	0.05077	0.02287
8	0.05077	0.02287
9	0.05077	0.02287
10	0.05077	0.02287
11	0.05077	0.02287
12	0.05077	0.02287
13	0.05077	0.02287
14	0.05077	0.02287
15	0.05077	0.02287
16	0.05077	0.02287
17	0.05077	0.02287
18	0.05077	0.02287
19	0.05077	0.02287
20	0.05077	0.02287
21	0.05077	0.02287
22	0.5796	0.9467
23	0.05077	0.02287
24	0.05077	0.02287
25	0.05077	0.02287
26	0.05077	0.02287
27	0.05077	0.02287
28	0.05077	0.02287
29	0.05077	0.02287
30	0.05077	0.02287
31	0.05077	0.02287
32	0.05077	0.02287
33	0.05077	0.02287
34	0.05077	0.02287
35	0.05077	0.02287
36	0.5086	0.5937
37	0.07862	0.07059
38	0.05077	0.02287
39	0.05077	0.02287
40	0.05077	0.02287
41	0.05077	0.02287
42	0.05077	0.02287
43	0.05077	0.02287
44	0.05077	0.02287
45	0.05077	0.02287
46	0.05077	0.02287
47	0.05077	0.02287
48	0.05077	0.02287
49	0.05077	0.02287
50	0.05077	0.02287
51	0.406	0.7067
52	0.05077	0.02287
53	0.05077	0.02287
54	0.05077	0.02287
55	0.05077	0.02287
56	0.05077	0.02287
57	0.5086	0.5937
58	0.8832	0.6456
59	0.05969	0.03519
60	0.05077	0.02287
61	1.056	0.3178
62	0.05292	0.02843
63	0.5627	0.6032
64	0.08139	0.07717
65	0.406	0.7067
66	0.05077	0.02287
67	1.062	0.2362
68	0.05077	0.02287
69	0.05077	0.02287
70	0.05077	0.02287
71	0.05077	0.02287
72	0.05077	0.02287
73	0.406	0.7067
74	0.09341	0.07938
75	0.05077	0.02287
76	0.05077	0.02287
77	0.05077	0.02287
78	0.05077	0.02287
79	0.05077	0.02287
80	0.05077	0.02287
81	0.05077	0.02287
82	0.05077	0.02287
83	0.05077	0.02287
84	0.05077	0.02287
85	0.05077	0.02287
86	0.05077	0.02287
87	0.05077	0.02287
88	0.05077	0.02287
89	0.05077	0.02287
90	0.05077	0.02287
91	0.05077	0.02287
92	0.05077	0.02287
93	0.05077	0.02287
94	0.05077	0.02287
95	0.05077	0.02287
96	0.05077	0.02287
97	0.05077	0.02287
98	0.05077	0.02287
99	0.05077	0.02287
100	0.05077	0.02287
101	0.05077	0.02287
102	0.05077	0.02287
103	0.05077	0.02287
104	0.05077	0.02287
105	0.05077	0.02287
106	0.05077	0.02287
107	0.05077	0.02287
108	0.05077	0.02287
109	0.05077	0.02287
110	0.05077	0.02287
111	0.05077	0.02287
112	0.05077	0.02287
113	0.05077	0.02287
114	0.05077	0.02287
115	0.406	0.7067
116	0.09341	0.07938
117	0.09341	0.07938
118	0.05077	0.02287
119	0.406	0.7067
120	0.09341	0.07938
121	0.05077	0.02287
122	0.05077	0.02287
123	0.05077	0.02287
124	0.05077	0.02287
125	0.05077	0.02287
126	0.05077	0.02287
127	0.05077	0.02287
128	0.05077	0.02287
129	0.5086	0.5937
130	0.6914	0.9155
131	0.05077	0.02287
132	0.05077	0.02287
133	0.406	0.7067
134	0.09341	0.07938
135	1.062	0.2328
136	0.05115	0.02505
137	0.05115	0.02505
138	0.05115	0.02505
139	0.05115	0.02505
140	0.4318	0.7086
141	0.05115	0.02505
142	0.05077	0.02287
143	0.05077	0.02287
144	0.05077	0.02287
145	0.05077	0.02287
146	1.063	0.226
147	0.05077	0.02287
148	0.05077	0.02287
149	0.05077	0.02287
150	0.05077	0.02287
151	0.05077	0.02287
152	0.05077	0.02287
153	0.406	0.7067
154	0.09341	0.07938
155	0.05077	0.02287
156	0.05077	0.02287
157	0.05077	0.02287
158	0.05077	0.02287
159	0.05077	0.02287
160	0.05077	0.02287
161	0.05077	0.02287
162	0.05077	0.02287
163	0.05077	0.02287
164	0.05077	0.02287
165	0.05077	0.02287
166	3.346	0.8149
167	0.08126	0.08261
