# Gain and Loss
branch	branchLength	distance2root	distance2NearestOTU	numOfNodes2NearestOTU	exp01	exp10
N2	0.09169	0.09169	0.004289	2	7.351	9.015
N3	0.00534	0.09703	0.0008811	1	0.03059	0.03233
N4	3.408e-06	0.09703	0.0008777	1	9.955e-06	9.323e-06
N5	3.408e-06	0.09704	0.0008743	1	1.426e-05	9.26e-06
S8	0.0008743	0.09791	0	0	1.003	0.002682
S9	0.001312	0.09835	0	0	0.004183	0.004269
S10	0.003062	0.1001	0	0	0.01196	0.01215
S11	0.006564	0.1036	0	0	0.03501	0.03542
N6	0.001228	0.09292	0.003061	1	0.01068	0.005152
S6	0.003061	0.09598	0	0	1.008	0.01524
S7	0.00397	0.09689	0	0	1.041	0.03197
N7	0.07203	0.07203	0.01388	2	6.812	5.563
N8	0.01257	0.0846	0.001315	1	1.832	0.1774
S4	0.001315	0.08591	0	0	0.5667	0.07656
S5	0.003522	0.08812	0	0	0.9485	0.4614
N9	0.01655	0.08858	0.004397	1	0.3748	1.978
S3	0.0103	0.09888	0	0	1.333	0.5887
N10	0.004396	0.09298	3.408e-07	1	1.549	0.7733
S1	3.408e-07	0.09298	0	0	0.005713	0.001692
S2	0.004404	0.09738	0	0	2.043	1.023
