# print values over probCutOff 0.05
G/L	POS	branch	branchLength	distance2root	distance2NearestOTU	numOfNodes2NearestOTU	probability	expectation
gain	2	N2	0.09169	0.09169	0.004289	2	0.06413	0.06494
loss	2	N2	0.09169	0.09169	0.004289	2	0.4491	0.4598
gain	2	N7	0.07203	0.07203	0.01388	2	0.1658	0.1681
loss	2	N7	0.07203	0.07203	0.01388	2	0.138	0.1398
gain	2	S4	0.001315	0.08591	0	0	0.5583	0.5583
loss	2	S5	0.003522	0.08812	0	0	0.4418	0.4418
loss	2	S3	0.0103	0.09888	0	0	0.4419	0.442
gain	2	N10	0.004396	0.09298	3.408e-07	1	0.553	0.5531
loss	2	S2	0.004404	0.09738	0	0	0.9943	0.9944
gain	6	N2	0.09169	0.09169	0.004289	2	0.1498	0.1529
loss	6	N2	0.09169	0.09169	0.004289	2	0.05372	0.05437
gain	6	N7	0.07203	0.07203	0.01388	2	0.08446	0.08551
loss	6	N7	0.07203	0.07203	0.01388	2	0.1063	0.1077
gain	6	N8	0.01257	0.0846	0.001315	1	0.1217	0.1217
loss	6	N9	0.01655	0.08858	0.004397	1	0.2149	0.2151
gain	6	S3	0.0103	0.09888	0	0	0.3327	0.3328
loss	6	N10	0.004396	0.09298	3.408e-07	1	0.6664	0.6664
gain	6	S2	0.004404	0.09738	0	0	0.9985	0.9985
gain	22	N2	0.09169	0.09169	0.004289	2	0.1989	0.203
gain	22	N7	0.07203	0.07203	0.01388	2	0.05758	0.05825
loss	22	N7	0.07203	0.07203	0.01388	2	0.2077	0.2105
gain	22	N8	0.01257	0.0846	0.001315	1	0.3129	0.313
loss	22	N9	0.01655	0.08858	0.004397	1	0.6845	0.6849
gain	36	N2	0.09169	0.09169	0.004289	2	0.4793	0.4855
loss	36	N7	0.07203	0.07203	0.01388	2	0.5512	0.5567
loss	51	N2	0.09169	0.09169	0.004289	2	0.6704	0.6816
gain	51	N7	0.07203	0.07203	0.01388	2	0.3597	0.3628
gain	57	N2	0.09169	0.09169	0.004289	2	0.4793	0.4855
loss	57	N7	0.07203	0.07203	0.01388	2	0.5512	0.5567
loss	58	N2	0.09169	0.09169	0.004289	2	0.2793	0.2856
gain	58	N7	0.07203	0.07203	0.01388	2	0.1077	0.1091
loss	58	N7	0.07203	0.07203	0.01388	2	0.08456	0.08568
gain	58	N8	0.01257	0.0846	0.001315	1	0.7293	0.7295
loss	58	N9	0.01655	0.08858	0.004397	1	0.2692	0.2694
loss	61	N2	0.09169	0.09169	0.004289	2	0.1313	0.1341
loss	61	N7	0.07203	0.07203	0.01388	2	0.106	0.1075
loss	61	S3	0.0103	0.09888	0	0	0.05689	0.0569
gain	61	N10	0.004396	0.09298	3.408e-07	1	0.9436	0.9436
gain	63	N2	0.09169	0.09169	0.004289	2	0.4767	0.4831
loss	63	N7	0.07203	0.07203	0.01388	2	0.5528	0.5585
loss	65	N2	0.09169	0.09169	0.004289	2	0.6704	0.6816
gain	65	N7	0.07203	0.07203	0.01388	2	0.3597	0.3628
loss	67	N2	0.09169	0.09169	0.004289	2	0.1162	0.1186
gain	67	S6	0.003061	0.09598	0	0	0.9953	0.9953
loss	67	N7	0.07203	0.07203	0.01388	2	0.1034	0.1048
loss	73	N2	0.09169	0.09169	0.004289	2	0.6704	0.6816
gain	73	N7	0.07203	0.07203	0.01388	2	0.3597	0.3628
loss	115	N2	0.09169	0.09169	0.004289	2	0.6704	0.6816
gain	115	N7	0.07203	0.07203	0.01388	2	0.3597	0.3628
loss	119	N2	0.09169	0.09169	0.004289	2	0.6704	0.6816
gain	119	N7	0.07203	0.07203	0.01388	2	0.3597	0.3628
gain	129	N2	0.09169	0.09169	0.004289	2	0.4793	0.4855
loss	129	N7	0.07203	0.07203	0.01388	2	0.5512	0.5567
gain	130	N2	0.09169	0.09169	0.004289	2	0.1624	0.1656
loss	130	N2	0.09169	0.09169	0.004289	2	0.1032	0.1052
gain	130	N7	0.07203	0.07203	0.01388	2	0.07142	0.07228
loss	130	N7	0.07203	0.07203	0.01388	2	0.1809	0.1834
gain	130	N8	0.01257	0.0846	0.001315	1	0.4088	0.4089
loss	130	N9	0.01655	0.08858	0.004397	1	0.5889	0.5892
loss	133	N2	0.09169	0.09169	0.004289	2	0.6704	0.6816
gain	133	N7	0.07203	0.07203	0.01388	2	0.3597	0.3628
loss	135	N2	0.09169	0.09169	0.004289	2	0.1164	0.1188
gain	135	S7	0.00397	0.09689	0	0	0.9972	0.9972
loss	135	N7	0.07203	0.07203	0.01388	2	0.1029	0.1043
loss	140	N2	0.09169	0.09169	0.004289	2	0.6713	0.6827
gain	140	N7	0.07203	0.07203	0.01388	2	0.359	0.3621
loss	146	N2	0.09169	0.09169	0.004289	2	0.1158	0.1182
gain	146	S8	0.0008743	0.09791	0	0	1	1
loss	146	N7	0.07203	0.07203	0.01388	2	0.1013	0.1027
loss	153	N2	0.09169	0.09169	0.004289	2	0.6704	0.6816
gain	153	N7	0.07203	0.07203	0.01388	2	0.3597	0.3628
gain	166	N2	0.09169	0.09169	0.004289	2	0.4135	0.4235
loss	166	N7	0.07203	0.07203	0.01388	2	0.5717	0.5805
loss	166	S4	0.001315	0.08591	0	0	0.06978	0.06978
gain	166	S5	0.003522	0.08812	0	0	0.9302	0.9303
gain	166	S3	0.0103	0.09888	0	0	0.9265	0.9268
loss	166	N10	0.004396	0.09298	3.408e-07	1	0.07361	0.07361
gain	166	S2	0.004404	0.09738	0	0	0.9999	0.9999
