# print values over probCutOff 0.05
G/L	POS	branch	branchLength	distance2root	distance2NearestOTU	numOfNodes2NearestOTU	probability
gain	2	N2	0.09169	0.09169	0.004289	2	0.06413
loss	2	N2	0.09169	0.09169	0.004289	2	0.4491
gain	2	N7	0.07203	0.07203	0.01388	2	0.1658
loss	2	N7	0.07203	0.07203	0.01388	2	0.138
gain	2	S4	0.001315	0.08591	0	0	0.5583
loss	2	S5	0.003522	0.08812	0	0	0.4418
loss	2	S3	0.0103	0.09888	0	0	0.4419
gain	2	N10	0.004396	0.09298	3.408e-07	1	0.553
loss	2	S2	0.004404	0.09738	0	0	0.9943
gain	6	N2	0.09169	0.09169	0.004289	2	0.1498
loss	6	N2	0.09169	0.09169	0.004289	2	0.05372
gain	6	N7	0.07203	0.07203	0.01388	2	0.08446
loss	6	N7	0.07203	0.07203	0.01388	2	0.1063
gain	6	N8	0.01257	0.0846	0.001315	1	0.1217
loss	6	N9	0.01655	0.08858	0.004397	1	0.2149
gain	6	S3	0.0103	0.09888	0	0	0.3327
loss	6	N10	0.004396	0.09298	3.408e-07	1	0.6664
gain	6	S2	0.004404	0.09738	0	0	0.9985
gain	22	N2	0.09169	0.09169	0.004289	2	0.1989
gain	22	N7	0.07203	0.07203	0.01388	2	0.05758
loss	22	N7	0.07203	0.07203	0.01388	2	0.2077
gain	22	N8	0.01257	0.0846	0.001315	1	0.3129
loss	22	N9	0.01655	0.08858	0.004397	1	0.6845
gain	36	N2	0.09169	0.09169	0.004289	2	0.4793
loss	36	N7	0.07203	0.07203	0.01388	2	0.5512
loss	51	N2	0.09169	0.09169	0.004289	2	0.6704
gain	51	N7	0.07203	0.07203	0.01388	2	0.3597
gain	57	N2	0.09169	0.09169	0.004289	2	0.4793
loss	57	N7	0.07203	0.07203	0.01388	2	0.5512
loss	58	N2	0.09169	0.09169	0.004289	2	0.2793
gain	58	N7	0.07203	0.07203	0.01388	2	0.1077
loss	58	N7	0.07203	0.07203	0.01388	2	0.08456
gain	58	N8	0.01257	0.0846	0.001315	1	0.7293
loss	58	N9	0.01655	0.08858	0.004397	1	0.2692
loss	61	N2	0.09169	0.09169	0.004289	2	0.1313
loss	61	N7	0.07203	0.07203	0.01388	2	0.106
loss	61	S3	0.0103	0.09888	0	0	0.05689
gain	61	N10	0.004396	0.09298	3.408e-07	1	0.9436
gain	63	N2	0.09169	0.09169	0.004289	2	0.4767
loss	63	N7	0.07203	0.07203	0.01388	2	0.5528
loss	65	N2	0.09169	0.09169	0.004289	2	0.6704
gain	65	N7	0.07203	0.07203	0.01388	2	0.3597
loss	67	N2	0.09169	0.09169	0.004289	2	0.1162
gain	67	S6	0.003061	0.09598	0	0	0.9953
loss	67	N7	0.07203	0.07203	0.01388	2	0.1034
loss	73	N2	0.09169	0.09169	0.004289	2	0.6704
gain	73	N7	0.07203	0.07203	0.01388	2	0.3597
loss	115	N2	0.09169	0.09169	0.004289	2	0.6704
gain	115	N7	0.07203	0.07203	0.01388	2	0.3597
loss	119	N2	0.09169	0.09169	0.004289	2	0.6704
gain	119	N7	0.07203	0.07203	0.01388	2	0.3597
gain	129	N2	0.09169	0.09169	0.004289	2	0.4793
loss	129	N7	0.07203	0.07203	0.01388	2	0.5512
gain	130	N2	0.09169	0.09169	0.004289	2	0.1624
loss	130	N2	0.09169	0.09169	0.004289	2	0.1032
gain	130	N7	0.07203	0.07203	0.01388	2	0.07142
loss	130	N7	0.07203	0.07203	0.01388	2	0.1809
gain	130	N8	0.01257	0.0846	0.001315	1	0.4088
loss	130	N9	0.01655	0.08858	0.004397	1	0.5889
loss	133	N2	0.09169	0.09169	0.004289	2	0.6704
gain	133	N7	0.07203	0.07203	0.01388	2	0.3597
loss	135	N2	0.09169	0.09169	0.004289	2	0.1164
gain	135	S7	0.00397	0.09689	0	0	0.9972
loss	135	N7	0.07203	0.07203	0.01388	2	0.1029
loss	140	N2	0.09169	0.09169	0.004289	2	0.6713
gain	140	N7	0.07203	0.07203	0.01388	2	0.359
loss	146	N2	0.09169	0.09169	0.004289	2	0.1158
gain	146	S8	0.0008743	0.09791	0	0	1
loss	146	N7	0.07203	0.07203	0.01388	2	0.1013
loss	153	N2	0.09169	0.09169	0.004289	2	0.6704
gain	153	N7	0.07203	0.07203	0.01388	2	0.3597
gain	166	N2	0.09169	0.09169	0.004289	2	0.4135
loss	166	N7	0.07203	0.07203	0.01388	2	0.5717
loss	166	S4	0.001315	0.08591	0	0	0.06978
gain	166	S5	0.003522	0.08812	0	0	0.9302
gain	166	S3	0.0103	0.09888	0	0	0.9265
loss	166	N10	0.004396	0.09298	3.408e-07	1	0.07361
gain	166	S2	0.004404	0.09738	0	0	0.9999
