POS	occur	unknown
1	10	1
2	1	0
3	11	0
4	11	0
5	11	0
6	11	0
7	11	0
8	11	0
9	11	0
10	11	0
11	11	0
12	11	0
13	11	0
14	11	0
15	11	0
16	11	0
17	11	0
18	11	0
19	11	0
20	11	0
21	11	0
22	11	0
23	11	0
24	11	0
25	11	0
26	11	0
27	11	0
28	11	0
29	11	0
30	11	0
31	11	0
32	11	0
33	11	0
34	11	0
35	11	0
36	11	0
37	11	0
38	11	0
39	11	0
40	11	0
41	11	0
42	11	0
43	11	0
44	11	0
45	11	0
46	11	0
47	11	0
48	11	0
49	11	0
50	11	0
51	11	0
52	11	0
53	11	0
54	11	0
55	11	0
56	11	0
57	11	0
58	11	0
59	11	0
60	11	0
61	11	0
62	11	0
63	11	0
64	11	0
65	11	0
66	2	0
67	11	0
68	11	0
69	11	0
70	11	0
71	11	0
72	11	0
73	11	0
74	11	0
75	11	0
76	11	0
77	11	0
78	11	0
79	11	0
80	11	0
81	11	0
82	11	0
83	11	0
84	11	0
85	11	0
86	11	0
87	11	0
88	11	0
89	11	0
90	11	0
91	11	0
92	11	0
93	11	0
94	11	0
95	11	0
96	11	0
97	11	0
98	11	0
99	11	0
100	11	0
101	11	0
102	11	0
103	11	0
104	11	0
105	11	0
106	11	0
107	11	0
108	11	0
109	11	0
110	11	0
111	11	0
112	11	0
113	11	0
114	11	0
115	11	0
116	10	0
117	11	0
118	11	0
119	11	0
120	11	0
121	1	0
122	10	1
123	11	0
124	11	0
125	11	0
126	11	0
127	11	0
128	11	0
129	11	0
130	11	0
131	11	0
132	11	0
133	11	0
134	8	2
135	2	0
136	1	10
137	11	0
138	11	0
139	11	0
140	11	0
141	11	0
142	11	0
143	11	0
144	11	0
145	11	0
146	11	0
147	11	0
148	11	0
149	11	0
150	11	0
151	11	0
152	11	0
153	11	0
154	11	0
155	11	0
156	11	0
157	11	0
158	11	0
159	11	0
160	11	0
161	11	0
162	11	0
163	11	0
164	11	0
165	11	0
166	11	0
167	1	0
168	10	1
169	10	1
