# print with MP based on the cost matrix: 
#  0->0 =0
#  0->1 =2
#  1->0 =1
#  1->1 =0
POS	Node	State
1	N1	1
1	N2	1
1	S10	1
1	S11	1
1	N3	1
1	N4	1
1	N5	1
1	S7	1
1	S8	1
1	S9	1
1	N6	1
1	S6	1
1	N7	1
1	S5	1
1	N8	1
1	N9	1
1	S1	1
1	S2	1
1	N10	1
1	S3	1
1	S4	1
2	N1	0
2	N2	0
2	S10	0
2	S11	0
2	N3	0
2	N4	0
2	N5	0
2	S7	0
2	S8	0
2	S9	0
2	N6	0
2	S6	0
2	N7	0
2	S5	0
2	N8	0
2	N9	0
2	S1	1
2	S2	0
2	N10	0
2	S3	0
2	S4	0
3	N1	1
3	N2	1
3	S10	1
3	S11	1
3	N3	1
3	N4	1
3	N5	1
3	S7	1
3	S8	1
3	S9	1
3	N6	1
3	S6	1
3	N7	1
3	S5	1
3	N8	1
3	N9	1
3	S1	1
3	S2	1
3	N10	1
3	S3	1
3	S4	1
4	N1	1
4	N2	1
4	S10	1
4	S11	1
4	N3	1
4	N4	1
4	N5	1
4	S7	1
4	S8	1
4	S9	1
4	N6	1
4	S6	1
4	N7	1
4	S5	1
4	N8	1
4	N9	1
4	S1	1
4	S2	1
4	N10	1
4	S3	1
4	S4	1
5	N1	1
5	N2	1
5	S10	1
5	S11	1
5	N3	1
5	N4	1
5	N5	1
5	S7	1
5	S8	1
5	S9	1
5	N6	1
5	S6	1
5	N7	1
5	S5	1
5	N8	1
5	N9	1
5	S1	1
5	S2	1
5	N10	1
5	S3	1
5	S4	1
6	N1	1
6	N2	1
6	S10	1
6	S11	1
6	N3	1
6	N4	1
6	N5	1
6	S7	1
6	S8	1
6	S9	1
6	N6	1
6	S6	1
6	N7	1
6	S5	1
6	N8	1
6	N9	1
6	S1	1
6	S2	1
6	N10	1
6	S3	1
6	S4	1
7	N1	1
7	N2	1
7	S10	1
7	S11	1
7	N3	1
7	N4	1
7	N5	1
7	S7	1
7	S8	1
7	S9	1
7	N6	1
7	S6	1
7	N7	1
7	S5	1
7	N8	1
7	N9	1
7	S1	1
7	S2	1
7	N10	1
7	S3	1
7	S4	1
8	N1	1
8	N2	1
8	S10	1
8	S11	1
8	N3	1
8	N4	1
8	N5	1
8	S7	1
8	S8	1
8	S9	1
8	N6	1
8	S6	1
8	N7	1
8	S5	1
8	N8	1
8	N9	1
8	S1	1
8	S2	1
8	N10	1
8	S3	1
8	S4	1
9	N1	1
9	N2	1
9	S10	1
9	S11	1
9	N3	1
9	N4	1
9	N5	1
9	S7	1
9	S8	1
9	S9	1
9	N6	1
9	S6	1
9	N7	1
9	S5	1
9	N8	1
9	N9	1
9	S1	1
9	S2	1
9	N10	1
9	S3	1
9	S4	1
10	N1	1
10	N2	1
10	S10	1
10	S11	1
10	N3	1
10	N4	1
10	N5	1
10	S7	1
10	S8	1
10	S9	1
10	N6	1
10	S6	1
10	N7	1
10	S5	1
10	N8	1
10	N9	1
10	S1	1
10	S2	1
10	N10	1
10	S3	1
10	S4	1
11	N1	1
11	N2	1
11	S10	1
11	S11	1
11	N3	1
11	N4	1
11	N5	1
11	S7	1
11	S8	1
11	S9	1
11	N6	1
11	S6	1
11	N7	1
11	S5	1
11	N8	1
11	N9	1
11	S1	1
11	S2	1
11	N10	1
11	S3	1
11	S4	1
12	N1	1
12	N2	1
12	S10	1
12	S11	1
12	N3	1
12	N4	1
12	N5	1
12	S7	1
12	S8	1
12	S9	1
12	N6	1
12	S6	1
12	N7	1
12	S5	1
12	N8	1
12	N9	1
12	S1	1
12	S2	1
12	N10	1
12	S3	1
12	S4	1
13	N1	1
13	N2	1
13	S10	1
