# Gain and Loss
branch	branchLength	distance2root	distance2NearestOTU	numOfNodes2NearestOTU	exp01	exp10
N2	0.007385	0.007385	0.0003732	1	0.567	0.1819
S10	0.0007386	0.008124	0	0	0.1729	0.0007397
S11	0.0003732	0.007758	0	0	0.0004682	0.8275
N3	0.00713	0.00713	0.002201	2	0.2053	0.5301
N4	0.007717	0.01485	0.001749	1	0.5949	0.155
N5	0.0008311	0.01568	0.001024	1	0.00153	0.01226
S7	0.001024	0.0167	0	0	0.0009251	1.562
S8	0.001193	0.01687	0	0	0.4401	0.004372
S9	0.001749	0.0166	0	0	0.4304	0.006883
N6	0.002201	0.00933	2.161e-07	1	0.8614	0.01312
S6	2.161e-07	0.009331	0	0	0.02406	2.762e-07
N7	0.001386	0.01072	0.001386	1	0.0009667	0.9755
S5	0.001386	0.0121	0	0	0.0009777	0.003861
N8	0.0008314	0.01155	0.00194	2	0.0003957	0.002962
N9	0.001109	0.01266	0.001109	1	0.003433	0.001295
S1	0.002226	0.01488	0	0	2	0.007643
S2	0.001109	0.01376	0	0	0.0006806	0.004039
N10	0.001663	0.01321	0.0002768	1	0.00138	0.002302
S3	0.0002768	0.01349	0	0	6.169e-05	0.0002099
S4	0.0005543	0.01376	0	0	0.0001902	0.000488
