# Gain and Loss
branch	branchLength	distance2root	distance2NearestOTU	numOfNodes2NearestOTU	exp01	exp10
N2	0.004089	0.004089	0.0003997	1	0.004583	0.02316
N3	0.001018	0.005107	8.324e-05	1	0.0001052	0.0009329
S14	8.324e-05	0.00519	0	0	1.581e-06	6.911e-05
S15	0.00025	0.005357	0	0	8.517e-06	0.0002113
S13	0.0003997	0.004488	0	0	1.937e-05	0.000345
N4	0.004214	0.004214	0.002083	2	0.02681	0.001746
N5	0.001667	0.005881	0.0004167	1	0.0003301	0.03853
N6	0.0004166	0.006298	6.576e-08	1	1.727e-05	0.0003651
S10	6.576e-08	0.006298	0	0	2.59e-10	5.443e-08
S11	0.0005001	0.006798	0	0	2.46e-05	0.0004364
S12	0.0005839	0.006465	0	0	3.301e-05	0.0005186
N7	0.0009327	0.005147	0.001266	2	2.962	0.003953
N8	0.001763	0.00691	0.0005934	1	0.002148	0.009039
N9	0.0004252	0.007335	0.0001682	1	0.001443	0.002129
S1	0.0001682	0.007503	0	0	1.999	0.001257
S2	0.0003351	0.00767	0	0	1.716e-05	0.003097
S3	0.0008323	0.007742	0	0	7.736e-05	0.0042
N10	0.0002596	0.005407	0.001006	1	0.002065	0.001855
S4	0.001006	0.006413	0	0	0.0008813	0.005094
N11	0.0004281	0.005835	0.0009297	2	0.0003785	1
N12	0.001164	0.006999	6.576e-08	1	0.0001333	0.005895
S8	6.576e-08	0.006999	0	0	9.705e-10	2.723e-07
S9	0.0001673	0.007166	0	0	4.995e-06	0.0006951
N13	0.0004183	0.006253	0.0005113	1	2.002e-05	0.002701
S5	0.0005113	0.006765	0	0	2.926e-05	0.002143
N14	0.001081	0.007334	0.0002509	1	0.0001175	0.004579
S6	0.0002509	0.007585	0	0	9.851e-06	0.001044
S7	0.0003348	0.007669	0	0	1.568e-05	0.001396
