# log Likelihood of tree (entire data)=	-53.69
POS	logLofPos
1	-8.924
2	-0.03801
3	-0.03801
4	-0.03815
5	-0.03815
6	-0.03815
7	-0.03815
8	-0.03815
9	-0.03815
10	-0.03815
11	-0.03815
12	-0.03815
13	-0.03815
14	-0.03815
15	-0.03815
16	-0.03815
17	-0.03815
18	-0.03815
19	-0.03815
20	-0.03815
21	-0.03815
22	-0.03815
23	-0.03815
24	-0.03815
25	-0.03815
26	-0.03815
27	-0.03815
28	-0.03815
29	-0.03815
30	-0.03815
31	-0.03815
32	-0.03815
33	-0.03815
34	-0.03815
35	-0.03815
36	-0.03815
37	-0.03815
38	-0.03815
39	-0.03815
40	-0.03815
41	-0.03815
42	-0.03815
43	-0.03815
44	-0.03815
45	-0.03815
46	-0.03815
47	-7.981
48	-0.02211
49	-0.03815
50	-0.03815
51	-0.03815
52	-0.03815
53	-0.03815
54	-7.195
55	-0.02978
56	-0.03815
57	-0.03815
58	-0.03815
59	-0.03815
60	-0.03815
61	-0.03815
62	-0.03815
63	-0.03815
64	-0.03815
65	-0.03815
66	-0.03815
67	-0.03815
68	-0.03815
69	-0.03815
70	-0.03815
71	-0.03815
72	-0.03815
73	-0.03815
74	-0.03815
75	-0.03815
76	-0.03815
77	-0.03815
78	-0.03815
79	-0.03815
80	-0.03815
81	-0.03815
82	-0.03815
83	-0.03815
84	-0.03815
85	-0.03815
86	-0.03815
87	-0.03815
88	-0.03815
89	-0.03815
90	-0.03815
91	-0.03815
92	-0.03815
93	-0.03815
94	-0.03815
95	-0.03815
96	-0.03815
97	-0.03815
98	-0.03815
99	-0.03815
100	-0.03815
101	-0.03815
102	-0.03815
103	-0.03815
104	-0.03815
105	-0.03815
106	-0.03815
107	-0.03815
108	-0.03815
109	-0.03815
110	-0.03815
111	-0.03815
112	-0.03815
113	-0.03815
114	-0.03815
115	-0.03815
116	-0.03815
117	-0.03815
118	-0.03815
119	-0.03815
120	-7.195
121	-0.02978
122	-0.02978
123	-0.02978
124	-0.03815
125	-0.03815
126	-0.03815
127	-0.03815
128	-0.03815
129	-0.03815
130	-0.03815
131	-0.03815
132	-0.03815
133	-0.03815
134	-0.03815
135	-0.03815
136	-0.03815
137	-0.03815
138	-0.03815
139	-7.195
140	-0.02978
141	-0.03815
142	-0.03815
143	-0.03815
144	-0.03815
145	-0.03815
146	-0.03815
147	-0.03815
148	-0.03815
149	-0.03815
150	-0.03815
151	-0.03815
152	-0.03815
153	-0.03815
154	-0.03815
155	-0.03815
156	-0.03815
157	-0.03815
158	-0.03815
159	-0.03815
160	-0.03815
161	-0.03815
162	-0.03815
163	-0.03815
164	-0.03815
165	-0.03815
166	-0.03815
167	-0.03815
168	-0.03815
169	-0.03815
170	-0.03815
171	-8.924
172	-0.03801
