# print values over probCutOff 0.05
G/L	POS	branch	branchLength	distance2root	distance2NearestOTU	numOfNodes2NearestOTU	probability	expectation
gain	2	S11	1.039e-06	0.01098	0	0	0.9998	0.9998
gain	25	S14	0.0005288	0.01097	0	0	0.9994	0.9994
gain	33	S14	0.0005288	0.01097	0	0	0.9994	0.9994
gain	40	S14	0.0005288	0.01097	0	0	0.9994	0.9994
gain	64	N2	0.003362	0.003362	0.00704	2	0.4452	0.4452
loss	64	N17	0.004156	0.004156	0.001185	1	0.5509	0.5509
gain	147	N12	0.005534	0.008896	0.001506	1	0.9945	0.9945
loss	164	N18	0.0003996	0.004556	0.0007858	1	0.9599	0.9599
gain	166	N6	0.001428	0.01233	1.039e-06	1	0.1601	0.1601
loss	166	N7	0.0001584	0.01249	0.0001325	1	0.1601	0.1601
gain	166	S4	1.039e-06	0.01233	0	0	0.8399	0.8399
loss	167	S18	0.00106	0.005616	0	0	0.9996	0.9996
gain	169	S1	0.0001325	0.01262	0	0	0.9986	0.9986
gain	171	S11	1.039e-06	0.01098	0	0	0.9998	0.9998
