# Various MP prints: 
#  0->0 =0
#  0->1 =2
#  1->0 =1
#  1->1 =0
0 0 
0 36 
35 1 
0 0 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
35 1 
0 0 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
35 1 
0 0 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
35 1 
0 0 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
4 0 
1 31 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
25 1 
0 10 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
0 0 
0 36 
2 0 
1 33 
0 0 
0 36 
35 1 
0 0 
0 0 
1 35 
0 0 
0 36 
35 1 
0 0 
0 0 
0 36 
35 1 
0 0 
0 0 
0 36 
