# print with MP based on the cost matrix: 
#  0->0 =0
#  0->1 =2
#  1->0 =1
#  1->1 =0
G/L	POS	branch	branchLength	distance2Root	distance2NearestOTU	numOfNodes2NearestOTU	probability	expectation
gain	2	S11	1e-06	0.0105648	0	0	1	1
gain	25	S14	0.00050899	0.0105629	0	0	1	1
gain	33	S14	0.00050899	0.0105629	0	0	1	1
gain	40	S14	0.00050899	0.0105629	0	0	1	1
loss	64	N17	0.00400091	0.00400091	0.00114108	1	1	1
gain	147	N12	0.00532706	0.00856378	0.00144934	1	1	1
loss	164	N18	0.0003847	0.00438561	0.00075638	1	1	1
gain	166	S4	1e-06	0.0118727	0	0	1	1
loss	167	S18	0.00102067	0.00540628	0	0	1	1
gain	169	S1	0.00012756	0.0121517	0	0	1	1
gain	171	S11	1e-06	0.0105648	0	0	1	1
