# log Likelihood of tree (entire data)=	-111.8
POS	logLofPos
1	-0.07413
2	-14.01
3	-0.07413
4	-0.07413
5	-0.07413
6	-0.07413
7	-0.07413
8	-0.07413
9	-0.07413
10	-0.07413
11	-0.07413
12	-0.07413
13	-0.07413
14	-0.07413
15	-0.07413
16	-0.07413
17	-0.07413
18	-0.07413
19	-0.07413
20	-0.07413
21	-0.07413
22	-0.07413
23	-0.07413
24	-0.07413
25	-7.773
26	-0.07413
27	-0.07413
28	-0.07413
29	-0.07413
30	-0.07413
31	-0.07413
32	-0.07367
33	-7.773
34	-0.07413
35	-0.07413
36	-0.07413
37	-0.07413
38	-0.07413
39	-0.07413
40	-7.773
41	-0.07413
42	-0.07413
43	-0.07413
44	-0.07413
45	-0.07413
46	-0.07413
47	-0.07413
48	-0.07413
49	-0.07413
50	-0.07413
51	-0.07413
52	-0.07413
53	-0.07413
54	-0.07413
55	-0.07413
56	-0.07413
57	-0.07413
58	-0.07413
59	-0.07413
60	-0.07413
61	-0.07413
62	-0.07413
63	-0.07413
64	-5.104
65	-0.07413
66	-0.07413
67	-0.07413
68	-0.07413
69	-0.07413
70	-0.07413
71	-0.07413
72	-0.07413
73	-0.07413
74	-0.07413
75	-0.07413
76	-0.07413
77	-0.07413
78	-0.07413
79	-0.07413
80	-0.07413
81	-0.07413
82	-0.07413
83	-0.07413
84	-0.07413
85	-0.07413
86	-0.07413
87	-0.07413
88	-0.07413
89	-0.07413
90	-0.07413
91	-0.07413
92	-0.07413
93	-0.07413
94	-0.07413
95	-0.07413
96	-0.07413
97	-0.07413
98	-0.07413
99	-0.07413
100	-0.07413
101	-0.07413
102	-0.07413
103	-0.07413
104	-0.07413
105	-0.07413
106	-0.07413
107	-0.07413
108	-0.07413
109	-0.07413
110	-0.07413
111	-0.07413
112	-0.07413
113	-0.07413
114	-0.07413
115	-0.07413
116	-0.07413
117	-0.07413
118	-0.07413
119	-0.07413
120	-0.07413
121	-0.07413
122	-0.07413
123	-0.07413
124	-0.07413
125	-0.07413
126	-0.07413
127	-0.07413
128	-0.07413
129	-0.07413
130	-0.07413
131	-0.07413
132	-0.07413
133	-0.07413
134	-0.07413
135	-0.07413
136	-0.07413
137	-0.07413
138	-0.07413
139	-0.07413
140	-0.07413
141	-0.07413
142	-0.07413
143	-0.07413
144	-0.07413
145	-0.07413
146	-0.07413
147	-5.418
148	-0.07413
149	-0.07413
150	-0.07413
151	-0.07413
152	-0.07413
153	-0.07413
154	-0.07413
155	-0.07413
156	-0.07413
157	-0.07413
158	-0.07413
159	-0.07413
160	-0.07413
161	-0.07413
162	-0.07413
163	-0.07413
164	-8
165	-0.07413
166	-13.83
167	-7.065
168	-0.07402
169	-9.157
170	-0.07402
171	-14.01
172	-0.07402
