# print with MP based on the cost matrix: 
#  0->0 =0
#  0->1 =2
#  1->0 =1
#  1->1 =0
POS	Node	State
1	N1	1
1	N2	1
1	N3	1
1	N4	1
1	N5	1
1	N6	1
1	N7	1
1	N8	1
1	S2	1
1	S3	1
1	S1	1
1	S4	1
1	N9	1
1	S5	1
1	S6	1
1	N10	1
1	S7	1
1	S8	1
1	N11	1
1	S9	1
1	S10	1
1	N12	1
1	S16	1
1	N13	1
1	S15	1
1	N14	1
1	S14	1
1	N15	1
1	S13	1
1	N16	1
1	S11	1
1	S12	1
1	N17	1
1	S19	1
1	N18	1
1	S17	1
1	S18	1
2	N1	0
2	N2	0
2	N3	0
2	N4	0
2	N5	0
2	N6	0
2	N7	0
2	N8	0
2	S2	0
2	S3	0
2	S1	0
2	S4	0
2	N9	0
2	S5	0
2	S6	0
2	N10	0
2	S7	0
2	S8	0
2	N11	0
2	S9	0
2	S10	0
2	N12	0
2	S16	0
2	N13	0
2	S15	0
2	N14	0
2	S14	0
2	N15	0
2	S13	0
2	N16	0
2	S11	1
2	S12	0
2	N17	0
2	S19	0
2	N18	0
2	S17	0
2	S18	0
3	N1	1
3	N2	1
3	N3	1
3	N4	1
3	N5	1
3	N6	1
3	N7	1
3	N8	1
3	S2	1
3	S3	1
3	S1	1
3	S4	1
3	N9	1
3	S5	1
3	S6	1
3	N10	1
3	S7	1
3	S8	1
3	N11	1
3	S9	1
3	S10	1
3	N12	1
3	S16	1
3	N13	1
3	S15	1
3	N14	1
3	S14	1
3	N15	1
3	S13	1
3	N16	1
3	S11	1
3	S12	1
3	N17	1
3	S19	1
3	N18	1
3	S17	1
3	S18	1
4	N1	1
4	N2	1
4	N3	1
4	N4	1
4	N5	1
4	N6	1
4	N7	1
4	N8	1
4	S2	1
4	S3	1
4	S1	1
4	S4	1
4	N9	1
4	S5	1
4	S6	1
4	N10	1
4	S7	1
4	S8	1
4	N11	1
4	S9	1
4	S10	1
4	N12	1
4	S16	1
4	N13	1
4	S15	1
4	N14	1
4	S14	1
4	N15	1
4	S13	1
4	N16	1
4	S11	1
4	S12	1
4	N17	1
4	S19	1
4	N18	1
4	S17	1
4	S18	1
5	N1	1
5	N2	1
5	N3	1
5	N4	1
5	N5	1
5	N6	1
5	N7	1
5	N8	1
5	S2	1
5	S3	1
5	S1	1
5	S4	1
5	N9	1
5	S5	1
5	S6	1
5	N10	1
5	S7	1
5	S8	1
5	N11	1
5	S9	1
5	S10	1
5	N12	1
5	S16	1
5	N13	1
5	S15	1
5	N14	1
5	S14	1
5	N15	1
5	S13	1
5	N16	1
5	S11	1
5	S12	1
5	N17	1
5	S19	1
5	N18	1
5	S17	1
5	S18	1
6	N1	1
6	N2	1
6	N3	1
6	N4	1
6	N5	1
6	N6	1
6	N7	1
6	N8	1
6	S2	1
6	S3	1
6	S1	1
6	S4	1
6	N9	1
6	S5	1
6	S6	1
6	N10	1
6	S7	1
6	S8	1
6	N11	1
6	S9	1
6	S10	1
6	N12	1
6	S16	1
6	N13	1
6	S15	1
6	N14	1
6	S14	1
6	N15	1
6	S13	1
6	N16	1
6	S11	1
6	S12	1
6	N17	1
6	S19	1
6	N18	1
6	S17	1
6	S18	1
7	N1	1
7	N2	1
7	N3	1
7	N4	1
7	N5	1
7	N6	1
7	N7	1
7	N8	1
7	S2	1
7	S3	1
7	S1	1
7	S4	1
7	N9	1
7	S5	1
7	S6	1
7	N10	1
7	S7	1
7	S8	1
7	N11	1
7	S9	1
7	S10	1
7	N12	1
7	S16	1
7	N13	1
7	S15	1
7	N14	1
7	S14	1
7	N15	1
7	S13	1
7	N16	1
7	S11	1
7	S12	1
7	N17	1
