POS	Node	State	Prob
1	S8	1	1
1	S10	1	1
1	N5	1	1
1	S11	1	1
1	N4	1	1
1	S9	1	1
1	S12	1	1
1	N6	1	1
1	N3	1	1
1	S6	1	1
1	S7	1	1
1	N7	1	1
1	N2	1	0.9994
1	S22	1	0.9984
1	S23	1	0.9984
1	N11	1	0.9997
1	S25	1	0.9976
1	N10	1	1
1	S26	1	1
1	N9	1	1
1	S2	1	1
1	S3	1	1
1	N14	1	1
1	S1	1	1
1	N13	1	1
1	S21	1	0.9978
1	S5	1	1
1	S20	1	0.9987
1	S18	1	0.9987
1	S24	1	0.999
1	N19	1	1
1	S4	1	1
1	S19	1	0.9984
1	N22	1	1
1	S17	1	0.999
1	N21	1	1
1	S13	1	0.9997
1	S15	1	0.9997
1	S14	1	1
1	S16	1	0.9993
1	N25	1	1
1	N24	1	1
1	N23	1	1
1	N20	1	1
1	N18	1	1
1	N17	1	1
1	N16	1	1
1	N15	1	1
1	N12	1	1
1	N8	1	1
1	N1	1	0.9984
2	S8	1	0
2	S10	1	0
2	N5	1	2.792e-07
2	S11	1	0
2	N4	1	1.178e-09
2	S9	1	0
2	S12	1	0
2	N6	1	1.549e-09
2	N3	1	2.35e-10
2	S6	1	0
2	S7	1	0
2	N7	1	1.241e-05
2	N2	1	0.006879
2	S22	1	1
2	S23	1	1
2	N11	1	0.8346
2	S25	1	1
2	N10	1	0.423
2	S26	1	0
2	N9	1	0.4065
2	S2	1	0
2	S3	1	0
2	N14	1	8.801e-14
2	S1	1	0
2	N13	1	6.632e-09
2	S21	1	1
2	S5	1	0
2	S20	1	1
2	S18	1	1
2	S24	1	1
2	N19	1	0.9975
2	S4	1	0
2	S19	1	1
2	N22	1	0.939
2	S17	1	1
2	N21	1	0.9979
2	S13	1	1
2	S15	1	1
2	S14	1	1
2	S16	1	1
2	N25	1	1
2	N24	1	1
2	N23	1	0.9999
2	N20	1	0.998
2	N18	1	0.9974
2	N17	1	0.941
2	N16	1	0.4151
2	N15	1	0.4138
2	N12	1	0.4064
2	N8	1	0.4064
2	N1	1	0.233
3	S8	1	1
3	S10	1	1
3	N5	1	1
3	S11	1	1
3	N4	1	1
3	S9	1	1
3	S12	1	1
3	N6	1	1
3	N3	1	1
3	S6	1	1
3	S7	1	1
3	N7	1	1
3	N2	1	0.9994
3	S22	1	0.9984
3	S23	1	0.9984
3	N11	1	0.9997
3	S25	1	0.9976
3	N10	1	1
3	S26	1	1
3	N9	1	1
3	S2	1	1
3	S3	1	1
3	N14	1	1
3	S1	1	1
3	N13	1	1
3	S21	1	0.9978
3	S5	1	1
3	S20	1	0.9987
3	S18	1	0.9987
3	S24	1	0.999
3	N19	1	1
3	S4	1	1
3	S19	1	0.9984
3	N22	1	1
3	S17	1	0.999
3	N21	1	1
3	S13	1	0.9997
3	S15	1	0.9997
3	S14	1	1
3	S16	1	0.9993
3	N25	1	1
3	N24	1	1
3	N23	1	1
3	N20	1	1
3	N18	1	1
3	N17	1	1
3	N16	1	1
3	N15	1	1
3	N12	1	1
3	N8	1	1
3	N1	1	0.9984
4	S8	1	1
4	S10	1	1
4	N5	1	1
4	S11	1	1
4	N4	1	1
4	S9	1	1
4	S12	1	1
4	N6	1	1
4	N3	1	1
4	S6	1	1
4	S7	1	1
4	N7	1	1
4	N2	1	0.9994
4	S22	1	0.9984
4	S23	1	0.9984
4	N11	1	0.9997
4	S25	1	0.9976
4	N10	1	1
4	S26	1	1
4	N9	1	1
4	S2	1	1
4	S3	1	1
4	N14	1	1
4	S1	1	1
4	N13	1	1
4	S21	1	0.9978
4	S5	1	1
4	S20	1	0.9987
4	S18	1	0.9987
4	S24	1	0.999
4	N19	1	1
4	S4	1	1
4	S19	1	0.9984
4	N22	1	1
4	S17	1	0.999
4	N21	1	1
4	S13	1	0.9997
4	S15	1	0.9997
4	S14	1	1
4	S16	1	0.9993
4	N25	1	1
4	N24	1	1
4	N23	1	1
4	N20	1	1
4	N18	1	1
4	N17	1	1
4	N16	1	1
4	N15	1	1
4	N12	1	1
4	N8	1	1
4	N1	1	0.9984
5	S8	1	1
5	S10	1	1
5	N5	1	1
5	S11	1	1
5	N4	1	1
5	S9	1	1
5	S12	1	1
5	N6	1	1
5	N3	1	1
5	S6	1	1
5	S7	1	1
5	N7	1	1
5	N2	1	0.9994
5	S22	1	0.9984
5	S23	1	0.9984
5	N11	1	0.9997
5	S25	1	0.9976
5	N10	1	1
5	S26	1	1
5	N9	1	1
5	S2	1	1
5	S3	1	1
5	N14	1	1
5	S1	1	1
5	N13	1	1
5	S21	1	0.9978
5	S5	1	1
5	S20	1	0.9987
5	S18	1	0.9987
5	S24	1	0.999
5	N19	1	1
5	S4	1	1
5	S19	1	0.9984
5	N22	1	1
5	S17	1	0.999
5	N21	1	1
5	S13	1	0.9997
5	S15	1	0.9997
5	S14	1	1
5	S16	1	0.9993
5	N25	1	1
5	N24	1	1
5	N23	1	1
5	N20	1	1
5	N18	1	1
5	N17	1	1
5	N16	1	1
5	N15	1	1
5	N12	1	1
5	N8	1	1
5	N1	1	0.9984
6	S8	1	1
6	S10	1	1
6	N5	1	1
6	S11	1	1
6	N4	1	1
6	S9	1	1
6	S12	1	1
6	N6	1	1
6	N3	1	1
6	S6	1	1
6	S7	1	1
6	N7	1	1
6	N2	1	0.9994
6	S22	1	0.9984
6	S23	1	0.9984
6	N11	1	0.9997
6	S25	1	0.9976
6	N10	1	1
6	S26	1	1
6	N9	1	1
6	S2	1	1
6	S3	1	1
6	N14	1	1
6	S1	1	1
6	N13	1	1
6	S21	1	0.9978
6	S5	1	1
6	S20	1	0.9987
6	S18	1	0.9987
