# log Likelihood of tree (entire data)=	-106.8
POS	logLofPos
1	-0.04293
2	-27.4
3	-0.04293
4	-0.04293
5	-0.04293
6	-0.04293
7	-0.05764
8	-0.05764
9	-0.05764
10	-0.05764
11	-0.05764
12	-0.05764
13	-0.05764
14	-0.05764
15	-0.05764
16	-0.05764
17	-0.05764
18	-0.05764
19	-0.05764
20	-0.05764
21	-0.05764
22	-0.05764
23	-0.05764
24	-0.05764
25	-0.05764
26	-0.05764
27	-0.05764
28	-0.05764
29	-0.05764
30	-0.05764
31	-0.05764
32	-0.05764
33	-0.05764
34	-0.05764
35	-0.05764
36	-0.05764
37	-0.05764
38	-0.05764
39	-0.05764
40	-0.05764
41	-0.05764
42	-0.05764
43	-0.05764
44	-0.05764
45	-0.05764
46	-0.05764
47	-0.05764
48	-0.05764
49	-0.05764
50	-0.05764
51	-0.05764
52	-0.05764
53	-0.05764
54	-0.05764
55	-0.05764
56	-0.05764
57	-0.05764
58	-0.05764
59	-0.05764
60	-0.05764
61	-0.05764
62	-0.05764
63	-0.05764
64	-0.05764
65	-0.05764
66	-0.05764
67	-0.05764
68	-0.05764
69	-0.05764
70	-0.05764
71	-0.05764
72	-0.05764
73	-0.05764
74	-12.35
75	-0.05764
76	-0.05764
77	-0.05764
78	-0.05764
79	-0.05764
80	-0.05764
81	-0.05764
82	-0.05764
83	-0.05764
84	-0.05764
85	-0.05764
86	-0.05764
87	-0.05764
88	-0.05764
89	-0.05764
90	-0.05764
91	-0.05764
92	-0.05764
93	-0.05764
94	-0.05764
95	-0.05764
96	-0.05764
97	-0.05764
98	-0.05764
99	-0.05764
100	-0.05764
101	-0.05764
102	-0.05764
103	-0.05764
104	-0.05764
105	-0.05764
106	-0.05764
107	-0.05764
108	-0.05764
109	-0.05764
110	-0.05764
111	-0.05764
112	-0.05764
113	-0.05764
114	-0.05764
115	-0.05764
116	-0.05764
117	-0.05764
118	-0.05764
119	-0.05764
120	-0.05764
121	-0.05764
122	-0.05764
123	-0.05764
124	-0.05764
125	-11.49
126	-5.758
127	-0.02928
128	-0.02928
129	-0.05764
130	-9.585
131	-0.05764
132	-0.05764
133	-0.05764
134	-0.05764
135	-5.922
136	-0.05764
137	-0.05764
138	-0.05764
139	-0.05764
140	-0.05764
141	-0.05764
142	-0.05764
143	-0.05764
144	-0.05764
145	-0.05764
146	-0.05764
147	-0.057
148	-9.581
149	-0.057
150	-0.05764
151	-0.05764
152	-0.05764
153	-0.05764
154	-0.05764
155	-0.05764
156	-0.05764
157	-0.05764
158	-0.05764
159	-0.05764
160	-0.05764
161	-0.05764
162	-15.81
163	-0.0317
164	-0.0317
165	-0.0317
166	-0.0317
