# print values over probCutOff 0.05
G/L	POS	branch	branchLength	distance2root	distance2NearestOTU	numOfNodes2NearestOTU	probability	expectation
loss	2	N2	0.009255	0.009255	0.009713	2	0.2291	0.2293
gain	2	N8	0.01149	0.01149	5.468e-05	2	0.1851	0.1854
gain	2	N11	0.0006815	0.01218	0.002727	1	0.4116	0.4116
gain	2	S22	0.002727	0.01491	0	0	0.1656	0.1656
gain	2	S23	0.002727	0.01491	0	0	0.1656	0.1656
gain	2	S25	0.005456	0.01696	0	0	0.5774	0.5776
loss	2	S26	0.005456	0.01695	0	0	0.4073	0.4074
loss	2	N13	0.003566	0.01506	5.468e-06	1	0.4067	0.4068
gain	2	S21	0.004773	0.01628	0	0	0.5865	0.5867
loss	2	S5	0.001366	0.01288	0	0	0.4152	0.4152
gain	2	N17	5.468e-06	0.01151	3.281e-05	1	0.5258	0.5258
gain	2	S20	0.002727	0.01424	0	0	0.05927	0.05928
gain	2	N18	5.468e-06	0.01152	2.734e-05	2	0.05647	0.05647
loss	2	N22	0.0006728	0.0122	0.001364	1	0.05897	0.05897
loss	2	S4	0.001364	0.01357	0	0	0.939	0.939
gain	2	S19	0.00341	0.01561	0	0	0.06142	0.06143
gain	74	N3	0.01039	0.01965	0.001366	2	0.06081	0.06089
loss	74	N7	0.008354	0.01761	0.001359	1	0.1129	0.113
gain	74	S6	0.001359	0.01897	0	0	0.1663	0.1663
loss	74	S7	0.002722	0.02033	0	0	0.8338	0.8339
loss	74	S24	0.002045	0.01357	0	0	0.9997	0.9998
loss	125	N2	0.009255	0.009255	0.009713	2	0.534	0.5345
gain	125	N8	0.01149	0.01149	5.468e-05	2	0.4549	0.4556
loss	125	N13	0.003566	0.01506	5.468e-06	1	0.9999	1
loss	126	N2	0.009255	0.009255	0.009713	2	0.4508	0.4511
gain	126	N8	0.01149	0.01149	5.468e-05	2	0.4308	0.4312
gain	126	N13	0.003566	0.01506	5.468e-06	1	0.1129	0.113
gain	130	S12	0.00136	0.02101	0	0	1	1
loss	135	N2	0.009255	0.009255	0.009713	2	0.506	0.5063
gain	135	N8	0.01149	0.01149	5.468e-05	2	0.4867	0.4871
gain	148	S5	0.001366	0.01288	0	0	1	1
gain	162	N2	0.009255	0.009255	0.009713	2	0.3238	0.3241
gain	162	N3	0.01039	0.01965	0.001366	2	0.07748	0.07758
gain	162	N7	0.008354	0.01761	0.001359	1	0.07533	0.07539
loss	162	N8	0.01149	0.01149	5.468e-05	2	0.6072	0.6082
gain	162	S26	0.005456	0.01695	0	0	1	1
gain	162	N13	0.003566	0.01506	5.468e-06	1	1	1
gain	162	S5	0.001366	0.01288	0	0	1	1
gain	162	S4	0.001364	0.01357	0	0	0.9966	0.9966
