# print with MP based on the cost matrix: 
#  0->0 =0
#  0->1 =2
#  1->0 =1
#  1->1 =0
G/L	POS	branch	branchLength	distance2Root	distance2NearestOTU	numOfNodes2NearestOTU	probability	expectation
loss	2	N2	0.00169243	0.00169243	0.0017762	2	1	1
loss	2	S26	0.00099768	0.00310038	0	0	1	1
loss	2	N13	0.0006521	0.0027548	1e-06	1	1	1
loss	2	S5	0.00024989	0.00235459	0	0	1	1
loss	2	S4	0.00024937	0.00248111	0	0	1	1
loss	74	S7	0.0004977	0.00371783	0	0	1	1
loss	74	S24	0.00037394	0.00248164	0	0	1	1
loss	125	N2	0.00169243	0.00169243	0.0017762	2	1	1
loss	125	N13	0.0006521	0.0027548	1e-06	1	1	1
loss	126	N2	0.00169243	0.00169243	0.0017762	2	1	1
gain	130	S12	0.00024879	0.00384268	0	0	1	1
loss	135	N2	0.00169243	0.00169243	0.0017762	2	1	1
gain	148	S5	0.00024989	0.00235459	0	0	1	1
loss	162	N10	1e-06	0.0021037	0.00062334	1	1	1
loss	162	S21	0.00087285	0.00297655	0	0	1	1
loss	162	N17	1e-06	0.0021057	6e-06	1	1	1
gain	162	S4	0.00024937	0.00248111	0	0	1	1
