POS	occur	unknown
1	13	13
2	13	0
3	13	13
4	13	13
5	13	13
6	13	13
7	26	0
8	26	0
9	26	0
10	26	0
11	26	0
12	26	0
13	26	0
14	26	0
15	26	0
16	26	0
17	26	0
18	26	0
19	26	0
20	26	0
21	26	0
22	26	0
23	26	0
24	26	0
25	26	0
26	26	0
27	26	0
28	26	0
29	26	0
30	26	0
31	26	0
32	26	0
33	26	0
34	26	0
35	26	0
36	26	0
37	26	0
38	26	0
39	26	0
40	26	0
41	26	0
42	26	0
43	26	0
44	26	0
45	26	0
46	26	0
47	26	0
48	26	0
49	26	0
50	26	0
51	26	0
52	26	0
53	26	0
54	26	0
55	26	0
56	26	0
57	26	0
58	26	0
59	26	0
60	26	0
61	26	0
62	26	0
63	26	0
64	26	0
65	26	0
66	26	0
67	26	0
68	26	0
69	26	0
70	26	0
71	26	0
72	26	0
73	26	0
74	24	0
75	26	0
76	26	0
77	26	0
78	26	0
79	26	0
80	26	0
81	26	0
82	26	0
83	26	0
84	26	0
85	26	0
86	26	0
87	26	0
88	26	0
89	26	0
90	26	0
91	26	0
92	26	0
93	26	0
94	26	0
95	26	0
96	26	0
97	26	0
98	26	0
99	26	0
100	26	0
101	26	0
102	26	0
103	26	0
104	26	0
105	26	0
106	26	0
107	26	0
108	26	0
109	26	0
110	26	0
111	26	0
112	26	0
113	26	0
114	26	0
115	26	0
116	26	0
117	26	0
118	26	0
119	26	0
120	26	0
121	26	0
122	26	0
123	26	0
124	26	0
125	16	0
126	3	16
127	7	19
128	7	19
129	26	0
130	1	0
131	26	0
132	26	0
133	26	0
134	26	0
135	19	0
136	26	0
137	26	0
138	26	0
139	26	0
140	26	0
141	26	0
142	26	0
143	26	0
144	26	0
145	26	0
146	26	0
147	25	1
148	1	0
149	25	1
150	26	0
151	26	0
152	26	0
153	26	0
154	26	0
155	26	0
156	26	0
157	26	0
158	26	0
159	26	0
160	26	0
161	26	0
162	13	0
163	13	13
164	13	13
165	13	13
166	13	13
