# Gain and Loss
branch	branchLength	distance2root	distance2NearestOTU	numOfNodes2NearestOTU	exp01	exp10
N2	0.02858	0.02858	0.004015	1	2.865	1.848
N3	0.002246	0.03082	0.001769	1	0.0163	0.07005
N4	0.00082	0.03164	0.0009489	1	0.001601	0.002688
S20	0.0009489	0.03259	0	0	0.001783	0.003034
S21	0.001811	0.03345	0	0	0.004327	0.006719
S22	0.002265	0.03309	0	0	0.00614	0.009137
S23	0.004224	0.0328	0	0	0.9665	0.02285
N5	0.02468	0.02468	0.005097	3	1.685	2.617
N6	0.003521	0.0282	0.001576	2	0.02437	0.02777
N7	0.001323	0.02952	0.000655	1	0.002023	0.003514
N8	0.0002821	0.0298	0.0003729	2	0.00171	0.003855
N9	0.000372	0.03017	8.987e-07	1	0.004262	0.002588
N10	8.987e-07	0.03017	8.987e-07	1	1.944e-07	0.0006448
S12	8.987e-07	0.03018	0	0	1.891e-07	3.614e-06
S14	0.0008031	0.03098	0	0	0.0005654	0.002633
S13	8.987e-07	0.03017	0	0	0.9994	3.438e-06
N11	0.00074	0.03054	0.0009619	1	4.989	1.982
S18	0.0009619	0.0315	0	0	1.225	0.02232
S19	0.003056	0.0336	0	0	1.021	0.0386
S15	0.0007225	0.03024	0	0	0.0006098	0.002346
N12	0.0003145	0.02851	0.001261	1	0.0009121	0.000965
S16	0.001261	0.02977	0	0	1	0.00694
S17	0.001726	0.03024	0	0	0.002185	0.007386
N13	0.001524	0.0262	0.004218	2	0.04557	0.01235
N14	0.001654	0.02785	0.002564	1	0.02045	0.01582
N15	0.001763	0.02962	0.0008014	1	0.01418	0.05571
N16	0.0001141	0.02973	0.001381	1	0.0001037	0.000511
N17	0.0002276	0.02996	0.001722	1	0.0003109	0.000678
S9	0.001722	0.03168	0	0	0.002211	0.006593
S11	0.002187	0.03214	0	0	0.003416	0.00898
S10	0.001381	0.03111	0	0	0.002211	1.004
S8	0.0008014	0.03042	0	0	0.00059	0.002635
S7	0.003654	0.03151	0	0	0.9595	1.017
N18	0.003694	0.02989	0.003303	2	0.9505	1.004
N19	0.001159	0.03105	0.002144	1	0.01379	0.007574
S5	0.002228	0.03328	0	0	0.004399	0.01134
S6	0.002144	0.0332	0	0	0.004149	0.01081
N20	0.003728	0.03362	0.0006804	1	0.02273	0.02461
S3	0.001272	0.03489	0	0	0.001525	0.005726
N21	0.0001065	0.03373	0.0005739	1	6.175e-05	0.0004066
S2	0.000804	0.03453	0	0	0.0007299	0.003396
N22	0.0003444	0.03407	0.0002295	1	0.000216	0.001363
S1	0.0002295	0.0343	0	0	0.0001322	0.0008909
S4	0.002183	0.03626	0	0	0.003852	0.01099
