POS	occur	unknown
1	20	3
2	1	2
3	1	1
4	1	0
5	21	2
6	23	0
7	23	0
8	6	0
9	23	0
10	23	0
11	23	0
12	23	0
13	23	0
14	23	0
15	23	0
16	23	0
17	23	0
18	23	0
19	23	0
20	23	0
21	23	0
22	23	0
23	23	0
24	23	0
25	23	0
26	23	0
27	23	0
28	23	0
29	23	0
30	23	0
31	23	0
32	23	0
33	23	0
34	23	0
35	23	0
36	23	0
37	23	0
38	23	0
39	23	0
40	23	0
41	23	0
42	23	0
43	23	0
44	23	0
45	23	0
46	23	0
47	23	0
48	23	0
49	23	0
50	23	0
51	23	0
52	23	0
53	22	0
54	6	0
55	23	0
56	17	0
57	6	17
58	6	17
59	23	0
60	6	0
61	17	6
62	23	0
63	23	0
64	23	0
65	23	0
66	23	0
67	23	0
68	23	0
69	23	0
70	23	0
71	23	0
72	23	0
73	23	0
74	23	0
75	23	0
76	23	0
77	23	0
78	23	0
79	23	0
80	23	0
81	23	0
82	23	0
83	23	0
84	23	0
85	23	0
86	23	0
87	23	0
88	23	0
89	23	0
90	23	0
91	23	0
92	23	0
93	23	0
94	23	0
95	23	0
96	23	0
97	23	0
98	23	0
99	23	0
100	23	0
101	23	0
102	23	0
103	23	0
104	23	0
105	23	0
106	23	0
107	23	0
108	23	0
109	23	0
110	23	0
111	23	0
112	23	0
113	23	0
114	23	0
115	7	0
116	10	7
117	6	17
118	23	0
119	23	0
120	23	0
121	23	0
122	23	0
123	23	0
124	23	0
125	23	0
126	23	0
127	23	0
128	23	0
129	23	0
130	23	0
131	23	0
132	23	0
133	21	1
134	1	0
135	1	22
136	23	0
137	23	0
138	1	0
139	23	0
140	23	0
141	23	0
142	23	0
143	23	0
144	23	0
145	23	0
146	23	0
147	23	0
148	23	0
149	6	0
150	17	6
151	23	0
152	23	0
153	23	0
154	23	0
155	23	0
156	23	0
157	23	0
158	23	0
159	23	0
160	23	0
161	23	0
162	23	0
163	23	0
164	23	0
165	23	0
166	6	17
167	17	0
168	2	0
169	21	2
