POS	exp01	exp10
1	0.0102	0.006488
2	1.024	0.05333
3	1.026	0.05351
4	1.017	0.05688
5	0.01014	0.00455
6	0.01011	0.00404
7	0.01011	0.00404
8	1.532	0.5417
9	0.01011	0.00404
10	0.01011	0.00404
11	0.01011	0.00404
12	0.01011	0.00404
13	0.01011	0.00404
14	0.01011	0.00404
15	0.01011	0.00404
16	0.01011	0.00404
17	0.01011	0.00404
18	0.01011	0.00404
19	0.01011	0.00404
20	0.01011	0.00404
21	0.01011	0.00404
22	0.01011	0.00404
23	0.01011	0.00404
24	0.01011	0.00404
25	0.01011	0.00404
26	0.01011	0.00404
27	0.01011	0.00404
28	0.01011	0.00404
29	0.01011	0.00404
30	0.01011	0.00404
31	0.01011	0.00404
32	0.01011	0.00404
33	0.01011	0.00404
34	0.01011	0.00404
35	0.01011	0.00404
36	0.01011	0.00404
37	0.01011	0.00404
38	0.01011	0.00404
39	0.01011	0.00404
40	0.01011	0.00404
41	0.01011	0.00404
42	0.01011	0.00404
43	0.01011	0.00404
44	0.01011	0.00404
45	0.01011	0.00404
46	0.01011	0.00404
47	0.01011	0.00404
48	0.01011	0.00404
49	0.01011	0.00404
50	0.01011	0.00404
51	0.01011	0.00404
52	0.01011	0.00404
53	0.05255	1.017
54	1.532	0.5417
55	0.01011	0.00404
56	0.06928	1.015
57	0.02774	0.04088
58	0.02774	0.04088
59	0.01011	0.00404
60	1.532	0.5417
61	0.02197	0.02585
62	0.01011	0.00404
63	0.01011	0.00404
64	0.01011	0.00404
65	0.01011	0.00404
66	0.01011	0.00404
67	0.01011	0.00404
68	0.01011	0.00404
69	0.01011	0.00404
70	0.01011	0.00404
71	0.01011	0.00404
72	0.01011	0.00404
73	0.01011	0.00404
74	0.01011	0.00404
75	0.01011	0.00404
76	0.01011	0.00404
77	0.01011	0.00404
78	0.01011	0.00404
79	0.01011	0.00404
80	0.01011	0.00404
81	0.01011	0.00404
82	0.01011	0.00404
83	0.01011	0.00404
84	0.01011	0.00404
85	0.01011	0.00404
86	0.01011	0.00404
87	0.01011	0.00404
88	0.01011	0.00404
89	0.01011	0.00404
90	0.01011	0.00404
91	0.01011	0.00404
92	0.01011	0.00404
93	0.01011	0.00404
94	0.01011	0.00404
95	0.01011	0.00404
96	0.01011	0.00404
97	0.01011	0.00404
98	0.01011	0.00404
99	0.01011	0.00404
100	0.01011	0.00404
101	0.01011	0.00404
102	0.01011	0.00404
103	0.01011	0.00404
104	0.01011	0.00404
105	0.01011	0.00404
106	0.01011	0.00404
107	0.01011	0.00404
108	0.01011	0.00404
109	0.01011	0.00404
110	0.01011	0.00404
111	0.01011	0.00404
112	0.01011	0.00404
113	0.01011	0.00404
114	0.01011	0.00404
115	1.979	0.1383
116	0.4231	1.666
117	0.01425	0.02526
118	0.01011	0.00404
119	0.01011	0.00404
120	0.01011	0.00404
121	0.01011	0.00404
122	0.01011	0.00404
123	0.01011	0.00404
124	0.01011	0.00404
125	0.01011	0.00404
126	0.01011	0.00404
127	0.01011	0.00404
128	0.01011	0.00404
129	0.01011	0.00404
130	0.01011	0.00404
131	0.01011	0.00404
132	0.01011	0.00404
133	0.04274	1.019
134	1.017	0.05355
135	0.02982	0.04927
136	0.01011	0.00404
137	0.01011	0.00404
138	0.9849	0.1421
139	0.01011	0.00404
140	0.01011	0.00404
141	0.01011	0.00404
142	0.01011	0.00404
143	0.01011	0.00404
144	0.01011	0.00404
145	0.01011	0.00404
146	0.01011	0.00404
147	0.01011	0.00404
148	0.01011	0.00404
149	1.532	0.5417
150	0.02197	0.02585
151	0.01011	0.00404
152	0.01011	0.00404
153	0.01011	0.00404
154	0.01011	0.00404
155	0.01011	0.00404
156	0.01011	0.00404
157	0.01011	0.00404
158	0.01011	0.00404
159	0.01011	0.00404
160	0.01011	0.00404
161	0.01011	0.00404
162	0.01011	0.00404
163	0.01011	0.00404
164	0.01011	0.00404
165	0.01011	0.00404
166	0.01425	0.02526
167	0.4175	1.622
168	1.053	0.05387
169	0.0102	0.006488
