# print with MP based on the cost matrix: 
#  0->0 =0
#  0->1 =2
#  1->0 =1
#  1->1 =0
G/L	POS	branch	branchLength	distance2Root	distance2NearestOTU	numOfNodes2NearestOTU	probability	expectation
gain	2	S19	0.00340048	0.0373862	0	0	1	1
gain	3	S13	1e-06	0.0335772	0	0	1	1
gain	4	S18	0.00107038	0.0350561	0	0	1	1
loss	8	N5	0.0274576	0.0274576	0.00567195	3	1	1
gain	8	N11	0.00082345	0.0339857	0.00107038	1	1	1
loss	53	S7	0.00406586	0.0350589	0	0	1	1
loss	54	N5	0.0274576	0.0274576	0.00567195	3	1	1
gain	54	N11	0.00082345	0.0339857	0.00107038	1	1	1
loss	56	N18	0.00411031	0.0332633	0.0036758	2	1	1
loss	60	N5	0.0274576	0.0274576	0.00567195	3	1	1
gain	60	N11	0.00082345	0.0339857	0.00107038	1	1	1
gain	115	N13	0.00169538	0.029153	0.00469321	2	1	1
loss	115	N15	0.00196142	0.0329545	0.00089172	1	1	1
loss	116	N2	0.0317989	0.0317989	0.00446775	1	1	1
loss	116	N11	0.00082345	0.0339857	0.00107038	1	1	1
loss	133	S10	0.00153617	0.0346175	0	0	1	1
gain	134	S16	0.00140349	0.0331295	0	0	1	1
gain	138	S23	0.00470012	0.0364991	0	0	1	1
loss	149	N5	0.0274576	0.0274576	0.00567195	3	1	1
gain	149	N11	0.00082345	0.0339857	0.00107038	1	1	1
loss	167	N2	0.0317989	0.0317989	0.00446775	1	1	1
loss	167	N11	0.00082345	0.0339857	0.00107038	1	1	1
gain	168	N11	0.00082345	0.0339857	0.00107038	1	1	1
