# Various MP prints: 
#  0->0 =0
#  0->1 =2
#  1->0 =1
#  1->1 =0
0 0 
0 44 
43 1 
0 0 
43 1 
0 0 
43 1 
0 0 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
33 1 
1 9 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
1 43 
33 1 
1 9 
0 0 
0 44 
10 0 
1 33 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
33 1 
1 9 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
29 1 
1 13 
8 0 
2 34 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
1 43 
43 1 
0 0 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
43 1 
0 0 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
33 1 
1 9 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
0 0 
0 44 
8 0 
2 34 
41 1 
0 2 
0 0 
0 44 
